"연령, 산업, 직업별",계,(연령)15~19세,(연령)20~29세,(연령)30~39세,(연령)40~49세,(연령)50~59세,(연령)60세이상,"(산업)A 농업, 임업 및 어업","(산업)* 광·제조업(B,C)",(산업)C 제조업,(산업)* 사회간접자본 및 기타서비스업(D~U),(산업)F 건설업,"(산업)* 도소매·음식숙박업(G, I","(산업)* 사업·개인·공공서비스 및 기타(E, L~U","(산업)* 전기·운수·통신·금융업(D, H, J, K)",(직업)* 전문·기술·행정 관리자,(직업)3 사무 종사자,(직업)* 서비스·판매 종사자,(직업)6 농림어업 숙련종사자,(직업)* 기능·기계조작·조립·단순노무 종사자,(직업)9 단순노무 종사자
2013.03_규모 (천명),5767,145,951,1080,1321,1281,988,84,531,530,5153,632,1052,2872,596,993,679,1386,31,910,1768
2013.03_비중 (%),100,2.5,16.5,18.7,22.9,22.2,17.1,1.5,9.2,9.2,89.3,11,18.2,49.8,10.3,17.2,11.8,24,0.5,15.8,30.7
2013.08_규모 (천명),5977,175,1007,1081,1344,1312,1058,82,519,517,5377,701,1135,2889,652,1032,705,1459,21,950,1809
2013.08_비중 (%),100,2.9,16.8,18.1,22.5,21.9,17.7,1.4,8.7,8.7,90,11.7,19,48.3,10.9,17.3,11.8,24.4,0.4,15.9,30.3
2014.03_규모 (천명),5960,142,977,1036,1375,1318,1114,77,562,559,5322,671,1127,2903,620,1020,704,1461,27,995,1753
2014.03_비중 (%),100,2.4,16.4,17.4,23.1,22.1,18.7,1.3,9.4,9.4,89.3,11.3,18.9,48.7,10.4,17.1,11.8,24.5,0.5,16.7,29.4
2014.08_규모 (천명),6123,184,1069,1060,1336,1303,1172,77,516,514,5530,687,1201,2995,646,1047,698,1521,22,970,1865
2014.08_비중 (%),100,3,17.5,17.3,21.8,21.3,19.1,1.3,8.4,8.4,90.3,11.2,19.6,48.9,10.6,17.1,11.4,24.8,0.4,15.8,30.5
2015.03_규모 (천명),6055,140,1013,1047,1334,1340,1181,78,528,526,5448,692,1199,2961,597,1024,690,1482,19,964,1876
2015.03_비중 (%),100,2.3,16.7,17.3,22,22.1,19.5,1.3,8.7,8.7,90,11.4,19.8,48.9,9.9,16.9,11.4,24.5,0.3,15.9,31
2015.08_규모 (천명),6308,191,1097,1028,1320,1365,1307,87,566,562,5655,737,1240,3087,592,1075,653,1537,25,1063,1956
2015.08_비중 (%),100,3,17.4,16.3,20.9,21.6,20.7,1.4,9,8.9,89.6,11.7,19.6,48.9,9.4,17,10.3,24.4,0.4,16.9,31
2016.03_규모 (천명),6191,139,1039,1003,1314,1369,1328,87,559,555,5546,668,1152,3129,598,1030,644,1510,20,1064,1922
2016.03_비중 (%),100,2.2,16.8,16.2,21.2,22.1,21.5,1.4,9,9,89.6,10.8,18.6,50.5,9.7,16.6,10.4,24.4,0.3,17.2,31
2016.08_규모 (천명),6481,197,1112,1000,1314,1401,1457,79,564,560,5838,770,1285,3166,618,1069,681,1621,21,1076,2013
2016.08_비중 (%),100,3,17.2,15.4,20.3,21.6,22.5,1.2,8.7,8.6,90.1,11.9,19.8,48.8,9.5,16.5,10.5,25,0.3,16.6,31.1
2017.08_규모 (천명),6578,179,1157,981,1313,1425,1523,82,526,524,5970,787,1320,3263,599,1086,711,1723,23,1003,2032
2017.08_비중 (%),100,2.7,17.6,14.9,20,21.7,23.2,1.3,8,8,90.8,12,20.1,49.6,9.1,16.5,10.8,26.2,0.3,15.3,30.9
2018.08_규모 (천명),6614,151,1124,992,1255,1444,1649,72,495,494,6048,815,1293,3338,602,1077,729,1716,25,983,2084
