근로형태별,임금근로자,정규직,비정규직
2004.08_평균근속기간(개월),53,69,24
2004.08_평균취업시간,46.8,49,43.1
2004.08_월평균임금(만원),154.1,176.9,115.3
2004.08_국민연금가입률(%),59.6,72.5,37.7
2004.08_건강보험가입률(%),61.4,73.8,40.2
2004.08_고용보험가입률(%),52.2,61.5,36.2
2004.08_퇴직급여가입률(%),54.1,67.4,31.4
2004.08_상여금수혜율(%),51.7,65.8,27.6
2004.08_시간외수당수혜율(%),43.4,55.8,22.3
2004.08_유급휴가수혜율(%),45.7,58.2,24.6
2005.08_평균근속기간(개월),54,71,24
2005.08_평균취업시간,44.3,45.9,41.5
2005.08_월평균임금(만원),159.1,184,115.8
2005.08_국민연금가입률(%),61.5,75.8,36.8
2005.08_건강보험가입률(%),62,75.9,37.9
2005.08_고용보험가입률(%),53.2,63.8,34.7
2005.08_퇴직급여가입률(%),54.1,68.6,28.9
2005.08_상여금수혜율(%),52.1,67.3,25.7
2005.08_시간외수당수혜율(%),43.6,56.5,21.2
2005.08_유급휴가수혜율(%),45,57.9,22.8
2006.08_평균근속기간(개월),54,70,25
2006.08_평균취업시간,43.7,45.4,40.5
2006.08_월평균임금(만원),165.6,190.5,120.2
2006.08_국민연금가입률(%),62.8,76.2,38.5
2006.08_건강보험가입률(%),63.4,76.1,40.2
2006.08_고용보험가입률(%),54.8,64.7,36.6
2006.08_퇴직급여가입률(%),54.7,67.9,30.5
2006.08_상여금수혜율(%),53.5,67.5,27.9
2006.08_시간외수당수혜율(%),42.5,53.9,21.7
2006.08_유급휴가수혜율(%),43.8,55,23.3
2007.03_평균근속기간(개월),54,70,26
2007.03_평균취업시간,46.7,49.2,42.4
2007.03_월평균임금(만원),172.4,198.2,127.7
2007.03_국민연금가입률(%),62.8,76.1,39.7
2007.03_건강보험가입률(%),64,76.7,42.1
2007.03_고용보험가입률(%),55.8,65.5,39.2
2007.03_퇴직급여가입률(%),56.1,68.9,33.9
2007.03_상여금수혜율(%),55.7,69.5,31.7
2007.03_시간외수당수혜율(%),43.4,54.3,24.4
2007.03_유급휴가수혜율(%),48.1,59.9,27.6
2007.08_평균근속기간(개월),55,71,26
2007.08_평균취업시간,42.2,44,39
2007.08_월평균임금(만원),174.6,200.7,127.9
2007.08_국민연금가입률(%),63.5,76.4,40.3
2007.08_건강보험가입률(%),64.6,76.8,42.8
2007.08_고용보험가입률(%),55.5,64.4,39.5
2007.08_퇴직급여가입률(%),57.7,70.3,35
2007.08_상여금수혜율(%),56.1,69.9,31.4
2007.08_시간외수당수혜율(%),43.4,54.3,24
2007.08_유급휴가수혜율(%),49.9,61.6,29
2008.03_평균근속기간(개월),56,72,26
2008.03_평균취업시간,47,49.2,42.9
2008.03_월평균임금(만원),181.1,210.1,127.5
2008.03_국민연금가입률(%),63.6,77.7,37.6
2008.03_건강보험가입률(%),64.9,78.2,40.2
2008.03_고용보험가입률(%),55.7,65.7,37.3
2008.03_퇴직급여가입률(%),60.1,74.3,33.8
2008.03_상여금수혜율(%),55.9,71.2,27.7
2008.03_시간외수당수혜율(%),42.7,54.9,20.1
2008.03_유급휴가수혜율(%),51,64.6,26
2008.08_평균근속기간(개월),57,74,24
2008.08_평균취업시간,41.8,43.3,38.8
2008.08_월평균임금(만원),184.7,212.6,129.9
2008.08_국민연금가입률(%),64.4,77.3,39.1
2008.08_건강보험가입률(%),65.7,78,41.6
2008.08_고용보험가입률(%),56.9,65.9,39.3
2008.08_퇴직급여가입률(%),61.4,74.5,35.8
2008.08_상여금수혜율(%),56.7,71.2,28.1
2008.08_시간외수당수혜율(%),42.6,53.6,20.8
2008.08_유급휴가수혜율(%),52.9,65.4,28.2
2009.03_평균근속기간(개월),59,77,23
2009.03_평균취업시간,45.6,48.1,40.8
2009.03_월평균임금(만원),185.7,216.9,123.5
2009.03_국민연금가입률(%),65,78.7,37.6
2009.03_건강보험가입률(%),66.7,79.6,40.9
2009.03_고용보험가입률(%),58,67.4,39.2
2009.03_퇴직급여가입률(%),62.3,76.3,34.1
2009.03_상여금수혜율(%),57.8,73.5,26.5
2009.03_시간외수당수혜율(%),43.2,55.1,19.6
2009.03_유급휴가수혜율(%),54.1,67.4,27.7
2009.08_평균근속기간(개월),59,79,21
2009.08_평균취업시간,43.1,45.4,38.8
2009.08_월평균임금(만원),185.5,220.2,120.5
2009.08_국민연금가입률(%),64.8,79,38.3
2009.08_건강보험가입률(%),67.1,79.8,43.4
2009.08_고용보험가입률(%),59,67.6,42.8
2009.08_퇴직급여가입률(%),61.6,77,32.7
2009.08_상여금수혜율(%),61.1,77.8,29.8
2009.08_시간외수당수혜율(%),43.4,55.6,20.5
2009.08_유급휴가수혜율(%),57.1,70.6,31.8
2010.03_평균근속기간(개월),59,77,23
2010.03_평균취업시간,45,47.9,39.1
2010.03_월평균임금(만원),194.8,228.9,125.5
2010.03_국민연금가입률(%),65.7,78.7,39.4
2010.03_건강보험가입률(%),67.7,79.6,43.4
2010.03_고용보험가입률(%),63.9,75.5,42.7
2010.03_퇴직급여가입률(%),63.4,76.6,36.7
2010.03_상여금수혜율(%),65.1,79.4,35.9
2010.03_시간외수당수혜율(%),44.8,55.5,23
2010.03_유급휴가수혜율(%),58.7,70.8,34
2010.08_평균근속기간(개월),60,77,24
2010.08_평균취업시간,43.8,46.5,38.3
2010.08_월평균임금(만원),195,229.4,126
2010.08_국민연금가입률(%),65.1,78.5,38.1
2010.08_건강보험가입률(%),67.1,79.5,42.1
2010.08_고용보험가입률(%),63.4,75.7,41
2010.08_퇴직급여가입률(%),63.1,76.7,36
2010.08_상여금수혜율(%),64.7,79.3,35.5
2010.08_시간외수당수혜율(%),44.6,55.5,22.5
2010.08_유급휴가수혜율(%),58.7,71.3,33.5
2011.03_평균근속기간(개월),62,79,26
2011.03_평균취업시간,45.2,48,39.6
2011.03_월평균임금(만원),202.6,236.7,135.8
2011.03_국민연금가입률(%),65.8,79.2,39.7
2011.03_건강보험가입률(%),68.7,80.7,45.2
2011.03_고용보험가입률(%),65.3,77.2,44.2
2011.03_퇴직급여가입률(%),65.2,78,40.2
2011.03_상여금수혜율(%),65.4,79.7,37.3
2011.03_시간외수당수혜율(%),44.5,54.7,24.4
2011.03_유급휴가수혜율(%),57.2,69.5,33
2011.08_평균근속기간(개월),61,79,27
2011.08_평균취업시간,40.5,42.9,36
2011.08_월평균임금(만원),203.3,238.8,135
2011.08_국민연금가입률(%),65.2,79.2,38.3
2011.08_건강보험가입률(%),68.4,80.9,44.1
2011.08_고용보험가입률(%),64.7,77.5,42.4
2011.08_퇴직급여가입률(%),64.7,78.4,38.4
2011.08_상여금수혜율(%),65,80.4,35.4
2011.08_시간외수당수혜율(%),43.8,55.1,22.1
2011.08_유급휴가수혜율(%),56,69.2,30.5
2012.03_평균근속기간(개월),63,81,29
2012.03_평균취업시간,44.6,47.4,39.1
2012.03_월평균임금(만원),211.6,245.5,143.5
2012.03_국민연금가입률(%),66.7,79.7,40.7
2012.03_건강보험가입률(%),69.8,81.4,46.6
2012.03_고용보험가입률(%),66.6,78.4,45.1
2012.03_퇴직급여가입률(%),66.5,79.4,40.6
2012.03_상여금수혜율(%),67.2,81.4,38.6
2012.03_시간외수당수혜율(%),44.8,55.3,23.7
2012.03_유급휴가수혜율(%),56.9,69.1,32.4
2012.08_평균근속기간(개월),64,82,28
2012.08_평균취업시간,39.2,41.4,34.9
2012.08_월평균임금(만원),210.9,246.2,139.8
2012.08_국민연금가입률(%),66.8,80.4,39.2
2012.08_건강보험가입률(%),70.1,82.3,45.5
2012.08_고용보험가입률(%),66.4,79,43.5
2012.08_퇴직급여가입률(%),66.8,80.3,39.6
2012.08_상여금수혜율(%),66.8,81.8,36.5
2012.08_시간외수당수혜율(%),45.3,56.3,23.3
2012.08_유급휴가수혜율(%),58.2,71,32.2
2013.03_평균근속기간(개월),66,84,29
2013.03_평균취업시간,43.5,46,38.2
2013.03_월평균임금(만원),217.7,253.7,141.7
2013.03_국민연금가입률(%),68.1,81.4,40.1
2013.03_건강보험가입률(%),71.6,83.3,46.9
2013.03_고용보험가입률(%),68,80.6,44
2013.03_퇴직급여가입률(%),68.5,81.7,40.7
2013.03_상여금수혜율(%),69.7,83.8,40.1
2013.03_시간외수당수혜율(%),47.9,58.5,25.4
2013.03_유급휴가수혜율(%),59.5,71.6,34
2013.08_평균근속기간(개월),67,85,30
2013.08_평균취업시간,38.3,40.2,34.2
2013.08_월평균임금(만원),218.9,255.1,143.4
2013.08_국민연금가입률(%),67.7,81.3,39.4
2013.08_건강보험가입률(%),71.4,83.6,46.3
2013.08_고용보험가입률(%),67.8,80.7,43.7
2013.08_퇴직급여가입률(%),68.3,81.9,40
2013.08_상여금수혜율(%),69.6,83.7,40.3
2013.08_시간외수당수혜율(%),47.6,58.5,25
2013.08_유급휴가수혜율(%),60.1,73.1,33.1
2014.03_평균근속기간(개월),68,85,31
2014.03_평균취업시간,43.6,46.4,37.7
2014.03_월평균임금(만원),224.2,260.8,146.5
2014.03_국민연금가입률(%),68.5,82,39.9
2014.03_건강보험가입률(%),71.9,84,46.3
2014.03_고용보험가입률(%),68.7,81.6,44.1
2014.03_퇴직급여가입률(%),69,82.3,40.8
2014.03_상여금수혜율(%),70.5,84.6,40.5
2014.03_시간외수당수혜율(%),47.6,58.5,24.5
2014.03_유급휴가수혜율(%),60.4,73.4,32.7
2014.08_평균근속기간(개월),68,86,30
2014.08_평균취업시간,38.1,40.1,33.9
2014.08_월평균임금(만원),224,261.1,145.9
2014.08_국민연금가입률(%),68.1,82.2,38.5
2014.08_건강보험가입률(%),71.5,84.2,44.8
2014.08_고용보험가입률(%),68.9,82,43.9
2014.08_퇴직급여가입률(%),68.4,82.1,39.5
2014.08_상여금수혜율(%),69.5,83.6,39.8
2014.08_시간외수당수혜율(%),47.8,58.9,24.4
2014.08_유급휴가수혜율(%),60.3,73.8,32
2015.03_평균근속기간(개월),69,87,29
2015.03_평균취업시간,43.6,46.5,37.5
2015.03_월평균임금(만원),232.2,272,147.3
2015.03_국민연금가입률(%),68,82.1,38.1
2015.03_건강보험가입률(%),72.1,84.7,45.2
2015.03_고용보험가입률(%),69.4,82.5,44.1
2015.03_퇴직급여가입률(%),70.1,83.5,41.6
2015.03_상여금수혜율(%),70.5,84.5,40.7
2015.03_시간외수당수혜율(%),47.4,58.3,24
2015.03_유급휴가수혜율(%),60.7,73.9,32.6
2015.08_평균근속기간(개월),68,88,28
2015.08_평균취업시간,39.1,41.3,34.3
2015.08_월평균임금(만원),230.4,270.2,147.3
2015.08_국민연금가입률(%),67.5,82.1,37
2015.08_건강보험가입률(%),71.6,84.8,43.9
2015.08_고용보험가입률(%),68.7,82.4,42.6
2015.08_퇴직급여가입률(%),69.9,84,40.6
2015.08_상여금수혜율(%),70.1,85,39
2015.08_시간외수당수혜율(%),47.2,58.4,23.8
2015.08_유급휴가수혜율(%),60.3,73.9,31.9
2016.03_평균근속기간(개월),70,89,29
2016.03_평균취업시간,43,46,36.8
2016.03_월평균임금(만원),241.7,284.1,151.5
2016.03_국민연금가입률(%),68.6,83.3,37.6
2016.03_건강보험가입률(%),73.5,86.3,46.3
2016.03_고용보험가입률(%),70.6,84.2,44.6
2016.03_퇴직급여가입률(%),71.6,85.3,42.4
2016.03_상여금수혜율(%),71.4,86.2,40
2016.03_시간외수당수혜율(%),47.9,58.7,24.9
2016.03_유급휴가수혜율(%),61.5,74.9,33.1
2016.08_평균근속기간(개월),70,89,29
2016.08_평균취업시간,38.1,40.5,33.2
2016.08_월평균임금(만원),237.2,279.9,149.8
2016.08_국민연금가입률(%),67.7,83,36.4
2016.08_건강보험가입률(%),72.6,86.2,44.9
2016.08_고용보험가입률(%),69.7,84.2,42.9
2016.08_퇴직급여가입률(%),70.9,85.5,41
2016.08_상여금수혜율(%),70,85.5,38.2
2016.08_시간외수당수혜율(%),47.3,58.5,24.4
2016.08_유급휴가수혜율(%),60.2,74.3,31.4
2017.08_평균근속기간(개월),71,91,30
2017.08_평균취업시간,38.1,40.7,32.7
2017.08_월평균임금(만원),243,285.1,156.9
2017.08_국민연금가입률(%),69.1,85,36.6
2017.08_건강보험가입률(%),74.2,88.4,45.3
2017.08_고용보험가입률(%),71.2,85.9,44.1
2017.08_퇴직급여가입률(%),72.6,87.8,41.5
2017.08_상여금수혜율(%),70.7,86.2,39.1
2017.08_시간외수당수혜율(%),47.8,59.3,24.2
2017.08_유급휴가수혜율(%),61.2,75.7,31.7
2018.08_평균근속기간(개월),73,93,31
2018.08_평균취업시간,36.6,39.3,31.2
