성별_연령계층별,계_계,계_15 - 19세,계_20 - 29세,계_30 - 39세,계_40 - 49세,계_50 - 59세,계_60세이상,남자_계,남자_15 - 19세,남자_20 - 29세,남자_30 - 39세,남자_40 - 49세,남자_50 - 59세,남자_60세이상,여자_계,여자_15 - 19세,여자_20 - 29세,여자_30 - 39세,여자_40 - 49세,여자_50 - 59세,여자_60세이상
2003.08_임금근로자,14195,267,3857,4351,3400,1632,688,8312,114,1855,2883,2062,1011,386,5883,153,2002,1468,1338,621,302
2003.08_정규직,9573,100,2714,3207,2339,979,234,6016,44,1317,2302,1541,662,150,3556,56,1397,905,798,317,84
2003.08_비정규직,4622,167,1143,1144,1061,653,453,2295,70,538,581,521,349,236,2327,97,605,563,540,304,218
2003.08_한시적,3028,118,847,728,649,408,279,1590,47,406,416,343,225,154,1437,71,440,312,307,183,124
2003.08_기간제,2414,110,699,558,492,327,229,1305,42,344,325,274,192,128,1109,68,355,233,217,135,102
2003.08_시간제,929,79,223,241,184,103,100,239,30,71,32,39,37,30,690,49,151,209,145,66,70
2003.08_비전형,1681,32,267,426,439,293,223,828,21,135,195,207,153,117,853,11,132,231,232,140,106
2004.08_임금근로자,14618,232,3866,4497,3591,1685,747,8515,98,1837,2967,2148,1047,419,6103,134,2029,1530,1443,638,329
2004.08_정규직,9211,89,2575,3051,2302,953,241,5775,34,1229,2177,1529,650,156,3436,54,1346,874,773,303,85
2004.08_비정규직,5407,144,1290,1446,1289,732,507,2739,64,607,790,619,397,263,2668,80,683,656,670,335,243
2004.08_한시적,3611,93,983,956,807,470,302,1922,44,471,565,405,264,174,1690,49,512,392,403,206,129
2004.08_기간제,2503,79,718,615,529,333,230,1354,35,342,372,274,200,131,1148,44,376,242,254,133,99
2004.08_시간제,1069,80,218,268,243,132,128,277,29,69,50,54,36,41,792,52,149,218,189,96,88
2004.08_비전형,1947,21,319,497,518,325,266,970,12,161,249,243,170,135,977,9,158,249,275,155,132
2005.08_임금근로자,14948,236,3804,4571,3746,1800,793,8667,111,1767,3010,2224,1102,454,6282,124,2038,1561,1522,698,339
2005.08_정규직,9480,69,2549,3185,2387,1026,264,5939,24,1196,2249,1574,715,181,3540,45,1353,936,812,311,83
2005.08_비정규직,5469,166,1255,1386,1359,774,529,2727,87,570,761,650,387,273,2741,79,685,625,710,387,256
2005.08_한시적,3612,112,957,914,838,468,323,1861,62,428,534,420,239,179,1751,50,529,380,418,230,144
2005.08_기간제,2725,95,784,677,576,352,242,1480,53,362,417,308,196,143,1245,41,422,260,267,155,99
2005.08_시간제,1037,89,230,240,222,128,129,307,38,79,57,53,38,42,730,51,151,182,169,90,87
2005.08_비전형,1896,26,264,468,533,350,256,960,15,147,247,245,176,131,935,11,117,221,288,174,125
2006.08_임금근로자,15420,197,3744,4742,3908,1972,857,8953,81,1807,3045,2307,1219,496,6467,117,1938,1697,1601,753,362
2006.08_정규직,9956,57,2578,3332,2580,1142,266,6243,21,1268,2296,1697,791,170,3713,37,1311,1035,883,351,97
2006.08_비정규직,5465,140,1166,1410,1327,830,591,2710,60,539,748,609,427,326,2755,80,627,662,718,403,265
2006.08_한시적,3649,88,924,963,801,513,359,1927,41,429,571,391,275,220,1722,47,495,392,410,238,140
2006.08_기간제,2741,82,719,689,575,384,292,1477,38,336,415,293,218,178,1264,44,383,274,283,167,114
2006.08_시간제,1127,80,224,271,245,136,171,341,29,84,63,57,39,70,786,51,140,208,188,98,101
2006.08_비전형,1918,24,199,439,560,400,296,909,10,110,195,244,195,156,1009,13,89,245,316,205,140
2007.03_임금근로자,15844,153,3730,4767,4165,2075,955,9192,67,1760,3056,2453,1285,571,6652,86,1969,1711,1712,789,384
2007.03_정규직,10046,50,2520,3308,2706,1161,301,6205,26,1179,2258,1740,798,203,3841,24,1341,1050,966,363,98
2007.03_비정규직,5798,103,1210,1459,1460,913,654,2986,41,581,797,713,487,368,2811,62,629,661,747,426,286
2007.03_한시적,3675,53,923,985,850,503,360,1982,21,429,589,431,287,225,1693,31,494,396,420,217,136
2007.03_기간제,2639,43,710,684,560,351,291,1476,18,333,419,305,213,188,1163,25,377,265,256,138,103
2007.03_시간제,1228,67,223,288,297,176,178,401,20,90,72,80,64,74,828,47,133,216,217,112,104
2007.03_비전형,2234,18,251,476,628,475,386,1172,11,148,243,302,255,214,1062,7,104,234,325,220,172
2007.08_임금근로자,16006,214,3727,4757,4145,2184,980,9326,101,1784,3058,2462,1347,574,6680,113,1943,1699,1684,836,406
2007.08_정규직,10274,62,2557,3337,2736,1249,333,6398,32,1222,2278,1797,856,213,3876,30,1335,1059,939,392,120
2007.08_비정규직,5732,152,1170,1419,1409,935,647,2928,69,562,780,665,491,361,2804,83,608,639,745,444,286
2007.08_한시적,3580,76,882,952,783,506,381,1943,36,433,568,388,282,237,1637,40,449,384,395,224,144
2007.08_기간제,2556,63,683,658,508,355,289,1425,31,342,393,259,214,187,1132,32,341,266,249,141,103
2007.08_시간제,1199,96,250,240,251,167,195,359,38,95,58,58,39,72,840,59,155,182,193,128,123
2007.08_비전형,2204,28,243,464,639,483,347,1140,17,133,236,302,258,195,1065,11,110,228,337,226,153
2008.03_임금근로자,16138,162,3618,4861,4205,2301,992,9335,71,1700,3074,2490,1401,600,6804,91,1919,1787,1715,900,391
2008.03_정규직,10472,55,2475,3523,2745,1349,325,6475,23,1157,2357,1813,912,215,3996,32,1318,1166,933,437,110
2008.03_비정규직,5667,107,1144,1338,1459,952,667,2859,48,543,717,677,489,386,2807,59,601,622,783,463,281
2008.03_한시적,3272,45,798,795,769,513,354,1720,23,376,455,361,272,233,1553,22,422,340,408,241,121
2008.03_기간제,2309,26,596,576,495,354,261,1288,15,281,341,258,207,186,1021,11,315,235,238,147,75
2008.03_시간제,1300,75,278,273,282,188,204,391,26,113,61,67,45,81,909,49,165,212,216,143,124
2008.03_비전형,2338,10,249,509,695,500,375,1271,7,143,290,345,267,220,1067,3,107,219,350,233,156
2008.08_임금근로자,16258,208,3597,4822,4264,2365,1002,9464,97,1715,3107,2531,1433,581,6793,111,1881,1715,1733,933,421
2008.08_정규직,10770,72,2482,3530,2917,1424,344,6743,34,1197,2406,1932,956,219,4027,39,1286,1125,985,468,125
2008.08_비정규직,5488,135,1114,1292,1347,941,658,2722,64,519,701,600,476,363,2766,72,596,591,748,465,296
2008.08_한시적,3322,57,819,832,726,507,382,1719,29,378,473,344,256,240,1604,29,441,359,382,251,142
2008.08_기간제,2388,47,625,598,480,346,293,1286,20,286,347,252,183,198,1102,27,339,251,228,163,95
2008.08_시간제,1231,97,231,242,268,176,218,373,40,90,72,50,41,81,858,57,141,170,218,135,137
2008.08_비전형,2147,18,223,447,610,499,350,1124,12,114,251,284,266,198,1023,7,109,196,326,234,152
2009.03_임금근로자,16210,129,3466,4782,4330,2471,1032,9385,47,1623,3083,2542,1488,603,6825,83,1843,1699,1788,984,429
2009.03_정규직,10803,40,2412,3567,2951,1494,340,6746,12,1137,2429,1935,1013,219,4057,28,1275,1138,1016,481,121
2009.03_비정규직,5407,90,1054,1215,1379,977,692,2639,35,486,653,607,475,384,2768,55,568,562,773,502,308
2009.03_한시적,3202,27,755,766,713,535,406,1642,8,351,434,327,262,259,1560,18,404,333,385,273,147
2009.03_기간제,2576,21,658,639,520,407,332,1381,7,304,368,263,220,220,1195,14,354,271,256,186,113
2009.03_시간제,1320,77,247,230,325,206,236,374,30,90,47,60,52,96,946,47,157,183,266,154,140
2009.03_비전형,2177,16,200,438,651,506,366,1111,8,105,244,302,253,199,1066,8,95,194,349,253,167
2009.08_임금근로자,16609,196,3502,4747,4423,2546,1195,9588,81,1669,3060,2599,1518,662,7020,115,1833,1687,1824,1029,532
2009.08_정규직,10826,49,2394,3549,2995,1514,326,6898,20,1160,2469,2013,1025,210,3928,29,1234,1079,981,489,116
2009.08_비정규직,5783,147,1108,1198,1428,1033,868,2690,61,510,590,585,492,452,3092,86,599,608,843,540,417
2009.08_한시적,3528,77,806,734,747,569,595,1690,29,373,383,305,266,334,1838,48,433,350,443,303,261
2009.08_기간제,2828,63,681,582,539,445,518,1368,25,306,309,223,208,297,1460,38,375,273,316,237,221
2009.08_시간제,1428,105,262,246,344,196,276,367,39,83,45,62,43,96,1061,66,179,201,282,153,181
2009.08_비전형,2288,18,221,454,683,537,375,1157,11,119,240,310,270,207,1131,7,102,215,373,267,168
2010.03_임금근로자,16744,156,3410,4804,4519,2708,1147,9620,58,1584,3080,2663,1583,652,7124,98,1826,1724,1855,1126,495
2010.03_정규직,11220,43,2399,3623,3154,1649,352,7057,19,1142,2485,2096,1090,225,4163,24,1257,1137,1058,559,127
2010.03_비정규직,5524,113,1011,1181,1365,1059,795,2563,39,442,594,567,493,427,2961,74,569,587,797,566,368
2010.03_한시적,3220,28,698,732,710,555,498,1552,12,294,404,292,263,287,1668,16,404,328,417,291,211
2010.03_기간제,2399,18,545,514,493,415,414,1164,6,230,282,198,203,245,1235,12,315,233,294,212,169
2010.03_시간제,1529,94,269,254,352,244,317,397,29,98,44,64,48,113,1132,64,170,211,288,196,204
2010.03_비전형,2186,12,202,417,618,561,376,1145,5,115,225,290,285,225,1041,7,87,192,328,276,151
2010.08_임금근로자,17189,214,3424,4823,4612,2854,1262,9870,88,1611,3082,2703,1679,706,7320,126,1813,1740,1909,1175,557
2010.08_정규직,11475,65,2361,3693,3240,1733,384,7210,28,1143,2522,2137,1128,252,4264,38,1218,1170,1103,605,132
2010.08_비정규직,5715,149,1064,1130,1372,1121,879,2659,60,468,560,566,551,454,3055,88,596,570,806,570,425
2010.08_한시적,3298,57,746,687,701,562,546,1582,26,323,377,283,267,306,1716,31,422,310,418,295,240
2010.08_기간제,2500,46,598,497,476,426,458,1211,21,262,271,185,209,263,1290,25,336,226,291,217,195
2010.08_시간제,1623,115,299,268,341,241,359,425,42,109,50,55,51,118,1198,73,190,217,286,191,241
2010.08_비전형,2300,13,203,402,633,631,416,1219,6,109,216,301,345,241,1081,7,94,186,332,287,175
2011.03_임금근로자,17252,198,3362,4848,4658,2971,1214,9946,95,1578,3119,2724,1736,694,7305,103,1783,1729,1935,1235,520
2011.03_정규직,11427,59,2340,3602,3257,1793,376,7173,31,1124,2467,2140,1172,239,4254,28,1216,1136,1117,620,137
2011.03_비정규직,5825,139,1022,1246,1401,1178,839,2773,64,455,652,583,564,455,3052,75,567,594,818,615,383
2011.03_한시적,3400,40,699,814,752,599,497,1684,20,291,459,317,290,308,1717,20,408,355,435,309,189
2011.03_기간제,2482,23,551,555,501,434,418,1219,11,219,311,201,213,265,1263,11,333,245,301,221,153
2011.03_시간제,1540,117,277,240,319,273,314,455,50,115,40,61,73,116,1085,68,162,200,258,200,198
2011.03_비전형,2334,17,220,401,634,639,422,1192,10,119,218,284,328,234,1141,7,101,183,351,311,189
2011.08_임금근로자,17715,230,3448,4865,4724,3102,1346,10168,93,1638,3127,2759,1799,752,7547,137,1810,1738,1966,1303,594
2011.08_정규직,11662,70,2357,3681,3284,1872,397,7349,25,1140,2543,2168,1220,253,4313,45,1217,1137,1116,653,144
2011.08_비정규직,6053,160,1090,1185,1440,1230,950,2819,68,498,584,590,579,500,3234,92,592,601,850,650,450
2011.08_한시적,3474,66,739,748,741,610,571,1660,26,326,394,301,287,328,1814,40,413,354,440,323,244
2011.08_기간제,2687,50,601,553,536,449,497,1275,18,264,281,213,211,288,1412,32,337,273,323,238,210
2011.08_시간제,1708,121,317,260,341,287,383,470,49,130,36,56,62,137,1237,72,186,224,285,225,246
2011.08_비전형,2452,17,203,391,670,688,482,1267,10,118,216,308,350,264,1185,8,85,175,362,338,218
2012.03_임금근로자,17645,189,3366,4827,4767,3166,1331,10067,70,1576,3084,2793,1807,738,7578,120,1790,1743,1974,1359,593
2012.03_정규직,11782,64,2369,3653,3336,1945,414,7354,26,1127,2491,2205,1247,260,4428,39,1242,1163,1132,698,154
2012.03_비정규직,5863,125,997,1174,1431,1221,917,2712,44,449,594,589,560,478,3151,81,548,580,842,661,439
2012.03_한시적,3424,35,667,759,777,638,548,1642,19,282,398,329,293,322,1782,17,385,360,448,346,226
2012.03_기간제,2573,26,512,552,548,472,463,1238,15,210,284,220,231,278,1335,11,302,268,328,241,185
2012.03_시간제,1710,109,315,257,357,288,385,469,32,132,51,55,65,134,1241,77,183,206,302,223,251
2012.03_비전형,2282,11,182,373,617,643,456,1171,6,113,211,277,331,234,1111,5,69,162,340,312,223
2012.08_임금근로자,17941,259,3321,4910,4755,3274,1421,10278,116,1563,3116,2801,1895,786,7663,143,1758,1794,1955,1379,635
2012.08_정규직,11987,63,2309,3777,3372,2045,421,7500,31,1117,2522,2235,1324,271,4488,32,1192,1255,1137,721,150
2012.08_비정규직,5954,197,1012,1133,1383,1229,1000,2779,86,447,595,565,572,515,3175,111,565,539,818,658,485
2012.08_한시적,3427,81,650,749,721,627,599,1679,37,288,413,293,302,347,1747,44,363,335,428,325,252
2012.08_기간제,2729,67,532,580,540,501,510,1326,30,232,305,214,247,299,1404,37,300,275,326,254,211
2012.08_시간제,1828,152,334,238,344,310,450,505,60,134,43,54,68,144,1323,92,200,195,289,242,306
