교육정도별,계_계,계_초졸이하,계_중졸,계_고졸,계_대졸이상,남자_계,남자_초졸이하,남자_중졸,남자_고졸,남자_대졸이상,여자_계,여자_초졸이하,여자_중졸,여자_고졸,여자_대졸이상
2003.08_임금근로자,14195,1311,1449,6289,5147,8312,510,764,3732,3306,5883,801,685,2557,1841
2003.08_정규직,9573,566,781,4184,4041,6016,220,405,2656,2736,3556,346,377,1528,1305
2003.08_비정규직,4622,745,667,2105,1106,2295,290,359,1076,571,2327,455,309,1028,535
2003.08_한시적,3028,448,410,1359,811,1590,168,215,763,445,1437,280,195,596,366
2003.08_시간제,929,144,138,454,194,239,36,46,113,45,690,108,92,341,149
2003.08_비전형,1681,355,286,751,290,828,146,167,366,149,853,209,119,384,141
2004.08_임금근로자,14618,1274,1442,6424,5478,8515,497,750,3796,3472,6103,777,693,2628,2006
2004.08_정규직,9211,507,700,4008,3996,5775,211,364,2535,2666,3436,297,336,1473,1330
2004.08_비정규직,5407,766,742,2417,1482,2739,286,386,1262,806,2668,480,357,1155,676
2004.08_한시적,3611,457,453,1570,1132,1922,168,240,874,640,1690,288,213,696,492
2004.08_시간제,1069,189,142,513,225,277,42,42,140,53,792,148,100,373,172
2004.08_비전형,1947,367,327,887,365,970,145,179,457,189,977,222,149,430,176
2005.08_임금근로자,14948,1255,1381,6551,5762,8667,490,691,3861,3625,6282,765,690,2690,2137
2005.08_정규직,9480,474,667,4052,4287,5939,202,340,2560,2839,3540,273,327,1492,1449
2005.08_비정규직,5469,780,714,2499,1475,2727,288,352,1301,787,2741,492,363,1198,688
2005.08_한시적,3612,453,421,1615,1123,1861,154,207,879,621,1751,299,215,735,502
2005.08_시간제,1037,185,135,503,214,307,50,40,157,61,730,135,95,346,154
2005.08_비전형,1896,358,320,878,340,960,146,166,469,180,935,212,154,409,160
2006.08_임금근로자,15420,1220,1423,6625,6153,8953,482,757,3913,3801,6467,737,667,2712,2352
2006.08_정규직,9956,463,716,4208,4570,6243,188,385,2692,2978,3713,275,330,1516,1591
2006.08_비정규직,5465,757,708,2417,1583,2710,295,371,1221,823,2755,462,336,1196,761
2006.08_한시적,3649,443,420,1548,1238,1927,167,231,842,687,1722,276,189,706,551
2006.08_시간제,1127,201,149,520,257,341,56,56,157,73,786,146,93,364,183
2006.08_비전형,1918,386,322,889,320,909,159,165,442,143,1009,227,158,448,177
2007.03_임금근로자,15844,1272,1420,6655,6497,9192,517,756,3907,4012,6652,755,664,2748,2485
2007.03_정규직,10046,461,697,4193,4695,6205,184,364,2632,3025,3841,277,333,1561,1670
2007.03_비정규직,5798,811,723,2462,1802,2986,333,392,1275,987,2811,478,331,1187,815
2007.03_한시적,3675,430,392,1453,1400,1982,171,216,789,806,1693,259,176,664,595
2007.03_시간제,1228,210,154,585,279,401,71,62,189,79,828,139,92,396,200
2007.03_비전형,2234,443,379,1026,386,1172,200,211,560,201,1062,243,167,466,185
2007.08_임금근로자,16006,1230,1406,6727,6644,9326,487,755,3902,4183,6680,743,650,2826,2461
2007.08_정규직,10274,463,681,4208,4922,6398,178,352,2652,3216,3876,285,329,1556,1707
2007.08_비정규직,5732,767,725,2519,1722,2928,308,403,1250,967,2804,458,322,1269,754
2007.08_한시적,3580,396,379,1463,1341,1943,158,213,779,794,1637,238,167,684,548
2007.08_시간제,1199,204,170,573,253,359,50,68,168,74,840,154,102,404,179
