성별_종사자규모별,계_계,계_1 - 4인,계_5~299인,계_300인이상,남자_계,남자_1 - 4인,남자_5~299인,남자_300인이상,여자_계,여자_1 - 4인,여자_5~299인,여자_300인이상
2003.08_임금근로자,14195,2847,0,0,8312,1209,0,0,5883,1638,0,0
2003.08_정규직,9573,1524,0,0,6016,691,0,0,3556,833,0,0
2003.08_비정규직,4622,1324,0,0,2295,518,0,0,2327,805,0,0
2003.08_한시적,3028,783,0,0,1590,325,0,0,1437,458,0,0
2003.08_기간제,2414,581,0,0,1305,264,0,0,1109,318,0,0
2003.08_시간제,929,427,0,0,239,92,0,0,690,335,0,0
2003.08_비전형,1681,522,0,0,828,197,0,0,853,325,0,0
2004.08_임금근로자,14618,2818,9989,1811,8515,1244,5937,1334,6103,1575,4052,476
2004.08_정규직,9211,1444,6328,1439,5775,700,3953,1122,3436,744,2375,317
2004.08_비정규직,5407,1374,3661,371,2739,544,1984,212,2668,831,1678,159
2004.08_한시적,3611,779,2502,330,1922,322,1410,190,1690,457,1092,140
2004.08_기간제,2503,496,1775,231,1354,224,1004,126,1148,272,771,106
2004.08_시간제,1069,490,543,36,277,116,151,10,792,375,392,26
2004.08_비전형,1947,552,1342,53,970,228,715,27,977,324,627,27
2005.08_임금근로자,14948,2970,10090,1888,8667,1305,5985,1377,6282,1666,4105,511
2005.08_정규직,9480,1481,6485,1514,5939,695,4084,1161,3540,786,2402,353
2005.08_비정규직,5469,1489,3605,374,2727,610,1901,216,2741,880,1704,158
2005.08_한시적,3612,868,2421,323,1861,350,1322,190,1751,518,1099,134
2005.08_기간제,2725,548,1909,268,1480,258,1070,153,1245,290,840,115
2005.08_시간제,1037,491,513,34,307,127,168,12,730,364,344,22
2005.08_비전형,1896,550,1291,54,960,245,687,28,935,305,604,27
2006.08_임금근로자,15420,3092,10479,1849,8953,1373,6240,1340,6467,1719,4239,509
2006.08_정규직,9956,1660,6818,1478,6243,797,4316,1130,3713,862,2502,348
2006.08_비정규직,5465,1432,3661,371,2710,575,1925,210,2755,857,1737,161
2006.08_한시적,3649,783,2529,337,1927,330,1403,194,1722,453,1126,143
2006.08_기간제,2741,549,1936,255,1477,242,1096,139,1264,308,840,117
2006.08_시간제,1127,522,572,33,341,138,190,13,786,383,383,20
2006.08_비전형,1918,587,1288,44,909,244,643,22,1009,342,645,22
2007.03_임금근로자,15844,3194,10832,1818,9192,1439,6431,1322,6652,1755,4401,496
2007.03_정규직,10046,1697,6915,1434,6205,794,4316,1096,3841,903,2600,338
2007.03_비정규직,5798,1497,3917,384,2986,645,2115,226,2811,852,1802,158
2007.03_한시적,3675,718,2599,358,1982,307,1461,214,1693,412,1138,144
2007.03_기간제,2639,460,1901,278,1476,223,1098,155,1163,238,803,123
2007.03_시간제,1228,561,639,29,401,163,225,12,828,398,414,16
2007.03_비전형,2234,699,1503,32,1172,333,826,14,1062,366,678,18
