산업별,계,"A 농업, 임업 및 어업","광·제조업(B,C)",B 광업,C 제조업,사회간접자본 및 기타서비스업(D~U),"D 전기, 가스, 증기 및 공기조절 공급업","E 수도, 하수 및 폐기물 처리, 원료 재생업",F 건설업,"도소매·음식숙박업(G, I)","사업·개인·공공서비스 및 기타(E, L~U)","전기·운수·통신·금융(D, H, J, K)",G 도매 및 소매업,H 운수 및 창고업,I 숙박 및 음식점업,J 정보통신업,K 금융 및 보험업,L 부동산업,"M 전문, 과학 및 기술 서비스업","N 사업시설관리, 사업지원 및 임대 서비스업","O 공공행정, 국방 및 사회보장 행정",P 교육 서비스업,Q 보건업 및 사회복지 서비스업,"R 예술, 스포츠 및 여가관련 서비스업","S 협회 및 단체, 수리 및 기타 개인 서비스업",T 가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,U 국제 및 외국기관
2013.03_임금근로자,17905,133,3698,14,3684,14073,72,78,1270,3189,7365,2250,2073,742,1116,644,793,295,925,1174,997,1349,1431,226,708,176,7
2013.03_정규직,12138,50,3168,14,3154,8921,62,60,637,2137,4492,1655,1468,595,669,516,481,168,764,287,705,842,947,128,511,75,6
2013.03_비정규직,5767,84,531,1,530,5153,10,18,632,1052,2872,596,606,147,447,127,311,127,161,887,292,506,484,98,197,101,1
2013.03_한시적,3349,18,414,1,413,2918,10,15,181,432,2017,288,250,105,182,100,73,89,146,588,280,350,383,55,81,30,1
2013.03_시간제,1758,21,80,0,80,1657,0,3,73,548,976,60,262,23,285,18,18,28,22,104,170,244,200,53,94,60,0
2013.03_비전형,2226,63,93,0,93,2071,1,2,444,282,1043,302,210,42,72,16,243,37,7,755,12,72,30,12,67,49,0
2013.08_임금근로자,18403,135,3721,15,3706,14547,78,93,1369,3379,7460,2339,2140,769,1240,653,839,304,868,1127,1016,1420,1495,259,697,176,6
2013.08_정규직,12426,53,3203,14,3189,9171,69,74,668,2244,4571,1687,1511,615,734,503,500,175,717,275,732,896,969,139,508,79,6
2013.08_비정규직,5977,82,519,1,517,5377,9,19,701,1135,2889,652,629,154,506,151,338,129,151,853,285,523,526,119,188,97,0
2013.08_한시적,3446,31,398,1,397,3017,7,15,196,475,2028,318,263,109,213,114,88,97,131,567,270,351,409,68,87,33,0
2013.08_시간제,1883,19,84,0,84,1780,1,6,79,615,1007,80,284,27,331,28,23,32,21,82,172,260,234,55,81,63,0
2013.08_비전형,2234,49,84,0,84,2100,2,1,500,270,1012,319,196,40,74,22,255,24,9,737,15,66,34,17,64,45,0
2014.03_임금근로자,18615,129,3889,14,3876,14597,63,90,1305,3471,7531,2289,2238,773,1233,642,811,331,870,1129,1021,1436,1549,218,764,110,12
2014.03_정규직,12654,52,3327,11,3316,9275,56,77,633,2344,4628,1669,1599,625,745,522,467,190,724,293,733,909,1005,125,522,40,12
2014.03_비정규직,5960,77,562,3,559,5322,8,13,671,1127,2903,620,639,148,488,120,345,141,146,837,289,527,544,93,243,71,0
2014.03_한시적,3426,23,437,3,434,2966,7,12,209,468,2001,289,268,100,200,96,85,102,125,549,272,335,428,60,94,24,0
2014.03_시간제,1921,18,91,0,91,1812,1,1,101,586,1054,70,277,25,310,22,23,31,21,102,156,293,255,38,119,38,0
2014.03_비전형,2177,51,89,0,89,2038,2,1,450,267,988,333,194,43,73,19,269,32,13,705,8,61,33,11,95,29,0
2014.08_임금근로자,18992,127,3937,13,3924,14928,70,99,1383,3605,7659,2281,2295,777,1310,637,798,314,891,1143,1009,1446,1650,248,752,91,16
2014.08_정규직,12869,50,3421,11,3410,9398,61,82,696,2404,4664,1634,1658,618,747,502,453,184,750,291,725,899,1036,136,507,39,15
2014.08_비정규직,6123,77,516,2,514,5530,8,18,687,1201,2995,646,637,159,564,134,345,130,141,852,283,548,614,112,246,52,1
2014.08_한시적,3529,29,393,2,391,3106,6,16,217,493,2093,304,272,108,221,110,81,105,119,560,268,353,489,70,100,12,1
2014.08_시간제,2035,20,88,0,88,1926,1,2,76,668,1116,66,290,24,379,22,19,28,19,95,170,299,299,53,123,28,0
2014.08_비전형,2137,48,83,0,83,2006,2,3,464,258,949,335,168,48,89,15,270,18,15,696,5,65,25,11,87,23,0
2015.03_임금근로자,18989,115,4005,10,3995,14870,78,101,1356,3611,7638,2265,2287,759,1324,689,739,308,866,1198,971,1467,1626,279,733,73,17
2015.03_정규직,12935,36,3477,8,3469,9421,65,82,665,2413,4677,1668,1621,609,792,558,435,184,733,320,707,917,1055,150,484,32,15
2015.03_비정규직,6055,78,528,2,526,5448,13,20,692,1199,2961,597,666,150,532,130,305,124,133,878,264,550,571,129,250,41,2
2015.03_한시적,3437,18,388,2,386,3031,8,15,222,487,2043,279,267,94,220,98,79,100,115,573,246,356,442,73,113,9,2
2015.03_시간제,2095,24,109,0,109,1962,2,4,94,675,1122,71,331,33,344,20,16,22,19,108,148,314,292,73,117,26,0
2015.03_비전형,2171,56,88,0,88,2028,4,4,463,289,976,299,199,42,90,22,231,26,16,719,16,70,33,12,63,18,0
2015.08_임금근로자,19474,126,4114,14,4100,15235,78,99,1410,3677,7829,2319,2247,793,1430,715,733,311,912,1224,988,1473,1703,290,746,64,20
2015.08_정규직,13166,39,3548,10,3538,9580,68,78,673,2438,4742,1727,1599,643,839,577,439,178,761,331,716,932,1062,151,491,28,16
2015.08_비정규직,6308,87,566,4,562,5655,9,21,737,1240,3087,592,649,150,591,138,294,134,152,893,273,542,641,139,255,36,3
2015.08_한시적,3655,22,426,4,422,3207,6,17,233,512,2179,282,279,100,234,106,70,107,128,581,259,367,513,71,122,11,3
2015.08_시간제,2236,32,117,0,117,2088,2,4,108,703,1193,83,302,32,401,27,22,30,28,129,170,284,325,79,121,23,0
2015.08_비전형,2229,60,84,0,84,2084,1,2,493,291,1018,283,190,35,101,20,227,29,16,732,15,83,38,16,73,16,0
2016.03_임금근로자,19359,131,4124,19,4105,15104,79,101,1335,3548,7943,2278,2183,791,1364,679,730,304,937,1311,1020,1475,1728,263,728,61,16
2016.03_정규직,13168,45,3565,16,3550,9558,70,84,667,2396,4815,1681,1599,624,797,559,428,175,790,349,756,929,1071,138,480,30,13
2016.03_비정규직,6191,87,559,4,555,5546,9,17,668,1152,3129,598,584,166,568,120,302,129,147,963,264,545,657,125,248,31,3
2016.03_한시적,3589,22,422,4,418,3145,5,14,227,479,2163,276,259,111,220,91,68,99,118,632,251,352,523,66,97,8,3
2016.03_시간제,2226,31,112,0,112,2083,3,4,79,682,1247,75,282,29,400,18,25,27,28,143,152,305,339,71,157,23,0
2016.03_비전형,2159,59,83,0,83,2017,1,0,434,225,1062,297,147,39,78,22,235,32,13,798,6,80,47,18,57,10,0
2016.08_임금근로자,19743,130,4007,19,3989,15606,73,108,1480,3719,8102,2306,2236,775,1483,710,748,324,951,1292,1053,1494,1817,263,731,54,17
2016.08_정규직,13262,51,3443,14,3429,9769,64,88,710,2434,4937,1688,1606,619,828,573,432,184,816,357,783,951,1109,127,483,26,13
2016.08_비정규직,6481,79,564,5,560,5838,9,20,770,1285,3166,618,630,156,655,137,316,140,135,934,270,543,708,136,248,28,4
2016.08_한시적,3671,17,423,5,418,3232,6,15,221,531,2179,300,281,107,250,112,75,99,107,610,253,356,553,70,104,9,4
2016.08_시간제,2488,24,121,0,121,2343,2,4,117,789,1354,82,321,34,468,20,27,46,34,150,166,309,395,78,151,23,0
2016.08_비전형,2245,59,81,0,81,2105,2,2,543,248,1010,304,154,39,94,21,243,31,7,773,6,65,42,15,64,5,0
2017.08_임금근로자,20006,122,4042,24,4018,15842,67,107,1513,3769,8259,2302,2321,783,1448,718,733,366,901,1306,1127,1538,1852,273,722,52,14
2017.08_정규직,13428,40,3516,22,3494,9872,60,79,725,2448,4996,1703,1639,620,809,590,433,217,757,413,808,958,1134,127,470,25,8
2017.08_비정규직,6578,82,526,2,524,5970,7,27,787,1320,3263,599,682,163,639,129,300,150,144,893,319,580,719,146,253,27,6
2017.08_한시적,3725,29,390,2,388,3305,5,16,269,516,2236,285,286,103,230,95,82,97,106,590,303,365,555,79,114,7,5
2017.08_시간제,2663,28,125,0,125,2510,2,7,124,837,1455,94,363,41,473,29,23,45,44,141,185,329,448,89,144,23,1
2017.08_비전형,2112,50,62,0,62,2000,1,6,510,239,968,284,163,44,75,19,221,37,9,736,9,64,34,13,52,7,1
2018.08_임금근로자,20045,115,3959,18,3941,15972,71,124,1584,3613,8361,2414,2251,791,1362,784,768,356,925,1193,1168,1505,1998,289,756,39,9
2018.08_정규직,13431,43,3464,16,3448,9924,65,103,770,2320,5023,1812,1607,618,713,666,463,197,779,347,836,941,1161,143,493,16,6
2018.08_비정규직,6614,72,495,1,494,6048,6,20,815,1293,3338,602,644,174,649,118,305,158,146,846,332,564,837,146,263,23,3
2018.08_한시적,3823,30,346,1,345,3447,4,12,275,545,2324,302,294,115,250,92,92,106,108,539,322,371,667,74,118,5,3
2018.08_시간제,2709,24,130,0,130,2555,0,9,117,789,1545,104,320,34,469,32,39,55,42,144,208,312,518,96,142,19,1
