직업별,계,관리자ㆍ전문가,1 관리자,2 전문가 및 관련 종사자,3 사무 종사자,서비스·판매 종사자,4 서비스 종사자,5 판매 종사자,6 농림어업 숙련종사자,기능·기계조작 종사자,7 기능원 및 관련 기능종사자,"8 장치,기계조작 및 조립종사자",9 단순노무 종사자
2013.03_임금근로자,17905,4307,327,3981,3937,3184,1626,1558,61,3635,1536,2099,2781
2013.03_정규직,12138,3315,285,3030,3258,1798,965,833,30,2725,1022,1703,1013
2013.03_비정규직,5767,993,42,951,679,1386,661,725,31,910,515,395,1768
2013.03_한시적,3349,755,38,718,564,544,336,209,17,493,206,287,976
2013.03_시간제,1758,293,3,290,160,562,355,207,4,86,52,34,653
2013.03_비전형,2226,126,6,120,97,575,141,434,14,474,325,149,941
2013.08_임금근로자,18403,4458,317,4141,3991,3309,1726,1582,56,3732,1624,2108,2858
2013.08_정규직,12426,3425,278,3148,3286,1849,1011,838,35,2781,1068,1713,1050
2013.08_비정규직,5977,1032,39,993,705,1459,715,744,21,950,556,395,1809
2013.08_한시적,3446,780,36,744,584,567,369,198,16,499,211,288,999
2013.08_시간제,1883,319,5,314,160,634,395,239,1,86,53,33,683
2013.08_비전형,2234,115,3,113,87,562,132,430,9,507,347,160,954
2014.03_임금근로자,18615,4438,322,4116,4085,3396,1772,1624,54,3828,1619,2209,2814
2014.03_정규직,12654,3417,284,3133,3381,1934,1065,870,27,2833,1052,1781,1062
2014.03_비정규직,5960,1020,38,983,704,1461,707,754,27,995,567,428,1753
2014.03_한시적,3426,752,32,720,595,558,347,211,16,545,223,322,960
2014.03_시간제,1921,337,4,333,143,617,391,226,4,111,73,38,709
2014.03_비전형,2177,123,4,120,85,576,127,449,14,503,351,152,875
2014.08_임금근로자,18992,4519,344,4174,4097,3526,1857,1669,48,3846,1636,2211,2957
2014.08_정규직,12869,3471,303,3168,3400,2005,1102,902,26,2877,1073,1804,1092
2014.08_비정규직,6123,1047,41,1006,698,1521,754,767,22,970,563,407,1865
2014.08_한시적,3529,793,38,755,565,579,362,217,16,539,235,305,1038
2014.08_시간제,2035,342,3,340,171,677,431,246,3,88,50,38,755
2014.08_비전형,2137,104,2,102,71,578,146,432,7,473,343,130,903
2015.03_임금근로자,18989,4426,308,4118,4144,3489,1851,1638,42,3906,1671,2235,2983
2015.03_정규직,12935,3402,264,3138,3454,2007,1106,900,23,2942,1090,1853,1107
2015.03_비정규직,6055,1024,44,980,690,1482,745,737,19,964,581,383,1876
2015.03_한시적,3437,762,42,720,550,576,385,191,12,509,234,275,1028
2015.03_시간제,2095,359,2,357,178,694,435,259,3,112,69,43,749
2015.03_비전형,2171,119,2,117,87,541,131,411,8,480,358,122,936
2015.08_임금근로자,19474,4560,302,4258,4153,3573,1897,1676,50,4049,1751,2298,3089
2015.08_정규직,13166,3485,257,3228,3500,2035,1107,928,26,2986,1125,1861,1134
2015.08_비정규직,6308,1075,45,1030,653,1537,790,747,25,1063,627,437,1956
2015.08_한시적,3655,816,42,774,534,612,396,216,15,587,266,321,1091
2015.08_시간제,2236,356,5,351,167,745,486,259,5,129,80,49,835
2015.08_비전형,2229,133,2,131,78,542,138,404,11,497,366,131,969
2016.03_임금근로자,19359,4504,296,4208,4236,3514,1850,1665,44,4046,1728,2318,3015
2016.03_정규직,13168,3474,252,3221,3591,2004,1074,930,24,2982,1118,1865,1093
2016.03_비정규직,6191,1030,43,987,644,1510,776,735,20,1064,610,453,1922
2016.03_한시적,3589,775,41,734,507,590,361,229,12,610,275,335,1097
2016.03_시간제,2226,353,3,350,182,766,514,252,2,108,64,44,815
2016.03_비전형,2159,134,3,130,70,527,143,384,8,478,340,138,942
2016.08_임금근로자,19743,4625,289,4336,4245,3677,2004,1674,54,4003,1748,2255,3139
2016.08_정규직,13262,3555,242,3313,3564,2057,1148,909,33,2928,1113,1815,1127
2016.08_비정규직,6481,1069,47,1023,681,1621,856,765,21,1076,636,440,2013
2016.08_한시적,3671,801,44,757,521,633,393,240,12,587,253,334,1118
2016.08_시간제,2488,383,3,380,216,865,588,276,7,141,90,51,877
2016.08_비전형,2245,121,1,120,80,523,131,392,9,502,380,122,1011
2017.08_임금근로자,20006,4717,285,4432,4389,3697,2015,1682,50,3962,1694,2268,3192
2017.08_정규직,13428,3631,248,3383,3678,1974,1096,878,27,2958,1098,1860,1160
2017.08_비정규직,6578,1086,37,1049,711,1723,919,805,23,1003,595,408,2032
2017.08_한시적,3725,787,31,756,541,690,455,235,13,555,257,298,1140
2017.08_시간제,2663,405,7,398,221,955,616,339,3,134,84,50,945
2017.08_비전형,2112,122,3,120,77,514,133,381,9,457,340,117,933
2018.08_임금근로자,20045,4877,345,4532,4436,3634,1976,1659,64,3887,1695,2192,3147
2018.08_정규직,13431,3800,312,3488,3707,1919,1014,905,39,2903,1084,1820,1063
2018.08_비정규직,6614,1077,33,1044,729,1716,961,754,25,983,611,372,2084
2018.08_한시적,3823,804,30,775,550,716,486,230,16,518,248,269,1218
2018.08_시간제,2709,403,3,400,234,962,652,310,6,121,80,42,983
2018.08_비전형,2071,109,4,105,78,505,129,376,6,480,354,126,893
2019.08_임금근로자,20559,4946,364,4582,4513,3786,2130,1656,76,3969,1762,2207,3269
2019.08_정규직,13078,3738,318,3420,3658,1839,992,847,40,2851,1097,1755,953
2019.08_비정규직,7481,1208,46,1162,855,1947,1138,809,37,1118,665,453,2316
2019.08_한시적,4785,927,39,887,670,934,629,306,29,689,341,349,1536
2019.08_시간제,3156,480,8,473,278,1120,785,335,4,152,94,59,1121
2019.08_비전형,2045,122,4,118,66,516,134,383,9,453,332,121,879
2020.08_임금근로자,20446,4932,355,4576,4419,3653,2028,1625,72,3860,1763,2096,3511
2020.08_정규직,13020,3802,302,3501,3632,1769,935,834,37,2762,1086,1676,1019
2020.08_비정규직,7426,1130,54,1076,788,1884,1093,791,35,1098,678,420,2491
2020.08_한시적,4608,885,45,840,589,883,621,262,25,632,304,328,1593
2020.08_시간제,3252,409,7,401,296,1093,743,351,8,173,124,49,1273
2020.08_비전형,2073,106,7,99,68,496,146,350,7,469,372,97,928
2021.08_임금근로자,20992,5114,337,4777,4512,3673,2130,1542,72,3930,1829,2101,3693
2021.08_정규직,12927,3800,274,3526,3646,1703,978,725,41,2758,1087,1671,978
2021.08_비정규직,8066,1314,63,1251,866,1969,1152,817,31,1172,742,430,2715
2021.08_한시적,5171,1042,55,987,678,975,678,296,20,652,333,319,1806
2021.08_시간제,3512,487,5,483,296,1167,770,397,6,190,121,70,1366
2021.08_비전형,2278,144,12,133,74,506,152,354,11,528,414,115,1014
2022.08_임금근로자,21724,5409,409,5000,4652,3841,2298,1543,68,3981,1827,2154,3773
2022.08_정규직,13568,4052,333,3720,3800,1771,1074,698,39,2852,1162,1691,1054
2022.08_비정규직,8156,1357,76,1281,852,2070,1225,846,30,1129,665,464,2719
2022.08_한시적,5348,1103,67,1037,674,1052,735,317,18,664,328,336,1836
2022.08_시간제,3687,485,9,476,279,1257,833,424,6,194,113,81,1468
2022.08_비전형,2131,122,7,114,62,510,152,358,10,470,333,138,957
2023.08_임금근로자,21954,5728,449,5279,4718,3979,2482,1497,73,3860,1712,2149,3595
2023.08_정규직,13832,4317,384,3934,3859,1808,1114,695,40,2784,1104,1681,1023
2023.08_비정규직,8122,1411,66,1346,859,2171,1369,802,33,1076,608,468,2572
2023.08_한시적,5259,1106,51,1055,669,1050,780,270,26,681,330,350,1727
2023.08_시간제,3873,526,9,517,306,1381,963,419,6,191,115,76,1464
2023.08_비전형,1957,133,8,125,78,519,157,362,6,401,277,125,821
2024.08_임금근로자,22143,5807,386,5421,4824,4031,2540,1491,85,3749,1631,2118,3648
2024.08_정규직,13685,4350,312,4039,3948,1763,1094,669,38,2700,1050,1650,886
2024.08_비정규직,8459,1457,75,1382,876,2269,1446,823,47,1049,581,469,2762
2024.08_한시적,5628,1117,60,1057,663,1186,872,314,41,702,353,349,1920
2024.08_시간제,4256,594,13,581,340,1492,1054,438,8,174,89,85,1648
2024.08_비전형,1903,124,7,117,83,472,122,349,7,350,228,122,867
2025.08_임금근로자,22413,6059,349,5711,4902,4019,2600,1420,80,3717,1613,2104,3636
2025.08_정규직,13845,4547,285,4262,3989,1769,1101,668,38,2603,1028,1575,899
2025.08_비정규직,8568,1513,64,1449,913,2251,1499,752,42,1113,585,529,2736
2025.08_한시적,5848,1169,54,1114,695,1185,931,255,36,798,377,421,1965
2025.08_시간제,4229,576,9,567,340,1475,1107,368,6,170,99,72,1663
2025.08_비전형,1834,136,4,132,83,447,111,337,5,325,209,116,837
