한시적근로자별,비정규직,한시적,기간제,비기간제,비정규직(남자),한시적(남자),기간제(남자),비기간제(남자),비정규직(여자),한시적(여자),기간제(여자),비기간제(여자)
2004.08_근로자수 (천명),5407,3611,2503,1109,2739,1922,1354,568,2668,1690,1148,541
2004.08_구성비 (비정규직대비),100,66.8,46.3,20.5,100,70.2,49.4,20.7,100,63.3,43.1,20.3
2004.08_증감 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0
2004.08_증감률 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0
2005.08_근로자수 (천명),5469,3612,2725,887,2727,1861,1480,381,2741,1751,1245,506
2005.08_구성비 (비정규직대비),100,66,49.8,16.2,100,68.2,54.3,14,100,63.9,45.4,18.4
2005.08_증감 (전년동월),62,0,223,-222,-12,-61,126,-187,74,61,97,-35
2005.08_증감률 (전년동월),1.1,0,8.9,-20,-0.4,-3.2,9.3,-32.9,2.8,3.6,8.4,-6.5
2006.08_근로자수 (천명),5465,3649,2741,909,2710,1927,1477,451,2755,1722,1264,458
2006.08_구성비 (비정규직대비),100,66.8,50.1,16.6,100,71.1,54.5,16.6,100,62.5,45.9,16.6
2006.08_증감 (전년동월),-4,37,15,22,-17,66,-4,70,13,-29,19,-48
2006.08_증감률 (전년동월),-0.1,1,0.6,2.5,-0.6,3.6,-0.2,18.3,0.5,-1.6,1.5,-9.4
2007.03_근로자수 (천명),5798,3675,2639,1036,2986,1982,1476,506,2811,1693,1163,530
2007.03_구성비 (비정규직대비),100,63.4,45.5,17.9,100,66.4,49.4,16.9,100,60.2,41.4,18.9
2007.03_증감 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0
2007.03_증감률 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0
2007.08_근로자수 (천명),5732,3580,2556,1024,2928,1943,1425,519,2804,1637,1132,505
2007.08_구성비 (비정규직대비),100,62.4,44.6,17.9,100,66.4,48.6,17.7,100,58.4,40.4,18
2007.08_증감 (전년동월),268,-69,-184,115,218,16,-52,68,50,-85,-132,47
2007.08_증감률 (전년동월),4.9,-1.9,-6.7,12.7,8,0.8,-3.5,15.1,1.8,-4.9,-10.5,10.3
2008.03_근로자수 (천명),5667,3272,2309,964,2859,1720,1288,432,2807,1553,1021,532
2008.03_구성비 (비정규직대비),100,57.7,40.7,17,100,60.1,45,15.1,100,55.3,36.4,18.9
2008.03_증감 (전년동월),-131,-403,-330,-72,-127,-262,-188,-74,-4,-141,-142,1
2008.03_증감률 (전년동월),-2.3,-11,-12.5,-7,-4.3,-13.2,-12.7,-14.6,-0.1,-8.3,-12.2,0.3
2008.08_근로자수 (천명),5488,3322,2388,934,2722,1719,1286,433,2766,1604,1102,501
2008.08_구성비 (비정규직대비),100,60.5,43.5,17,100,63.1,47.2,15.9,100,58,39.9,18.1
2008.08_증감 (전년동월),-244,-257,-168,-90,-206,-224,-139,-86,-38,-33,-29,-4
2008.08_증감률 (전년동월),-4.3,-7.2,-6.6,-8.8,-7,-11.5,-9.7,-16.5,-1.3,-2,-2.6,-0.8
2009.03_근로자수 (천명),5407,3202,2576,626,2639,1642,1381,261,2768,1560,1195,364
2009.03_구성비 (비정규직대비),100,59.2,47.6,11.6,100,62.2,52.3,9.9,100,56.3,43.2,13.2
2009.03_증감 (전년동월),-259,-71,267,-338,-221,-77,93,-171,-39,7,174,-167
2009.03_증감률 (전년동월),-4.6,-2.2,11.6,-35.1,-7.7,-4.5,7.3,-39.5,-1.4,0.4,17,-31.4
2009.08_근로자수 (천명),5783,3528,2828,700,2690,1690,1368,322,3092,1838,1460,378
2009.08_구성비 (비정규직대비),100,61,48.9,12.1,100,62.8,50.9,12,100,59.4,47.2,12.2
2009.08_증감 (전년동월),295,206,440,-234,-32,-28,83,-111,326,234,357,-123
2009.08_증감률 (전년동월),5.4,6.2,18.4,-25.1,-1.2,-1.7,6.4,-25.6,11.8,14.6,32.4,-24.5
2010.03_근로자수 (천명),5524,3220,2399,821,2563,1552,1164,388,2961,1668,1235,433
2010.03_구성비 (비정규직대비),100,58.3,43.4,14.9,100,60.6,45.4,15.1,100,56.3,41.7,14.6
2010.03_증감 (전년동월),117,18,-177,195,-76,-90,-217,127,193,108,40,68
2010.03_증감률 (전년동월),2.2,0.6,-6.9,31.2,-2.9,-5.5,-15.7,48.5,7,6.9,3.4,18.7
2010.08_근로자수 (천명),5715,3298,2500,798,2659,1582,1211,372,3055,1716,1290,426
2010.08_구성비 (비정규직대비),100,57.7,43.7,14,100,59.5,45.5,14,100,56.2,42.2,13.9
2010.08_증감 (전년동월),-68,-230,-328,98,-31,-108,-158,50,-37,-122,-170,48
2010.08_증감률 (전년동월),-1.2,-6.5,-11.6,14,-1.1,-6.4,-11.5,15.4,-1.2,-6.7,-11.7,12.7
2011.03_근로자수 (천명),5825,3400,2482,918,2773,1684,1219,464,3052,1717,1263,454
2011.03_구성비 (비정규직대비),100,58.4,42.6,15.8,100,60.7,44,16.7,100,56.3,41.4,14.9
2011.03_증감 (전년동월),301,180,83,97,210,131,55,76,91,49,28,21
