성별,계,남자,여자
2004.08,53.9,66.6,49.4
2005.08,52.2,62.2,48
2006.08,55.2,65.8,50.6
2007.03,54.4,62.4,50.5
2007.08,56.1,63.1,53.1
2008.03,55.9,60.6,53.9
2008.08,57.5,64.7,54.4
2009.03,55.8,60,54.1
2009.08,53.7,57.4,52.4
2010.03,55.5,58.8,54.4
2010.08,56.5,60.9,54.9
2011.03,58.9,62.6,57.3
2011.08,60.6,64.5,59.1
2012.03,62.3,70.4,59.3
2012.08,61.1,67.4,58.7
2013.03,65.5,73.1,62.7
2013.08,65.7,73.6,62.7
2014.03,67.5,75,64.6
2014.08,66.5,71.6,64.4
2015.03,73.4,81,70.2
2015.08,70.8,79.8,66.9
2016.03,75.5,82.1,73
2016.08,74.3,77.5,73.1
2017.08,80.3,85.4,78.2
2018.08,86.7,93.6,84.1
2019.08,92.7,100.4,89.9
2020.08,90.3,97,87.7
2021.08,91.6,98,89
2022.08,99.9,112.2,94.4
2023.08,107.5,120.7,101.9
2024.08,114.9,125.4,110.7
2025.08,111.5,119.8,108.2
