비전형근로자별,비정규직,비전형,파견,용역,특수형태,일일,가정내,비정규직(남자),비전형(남자),파견(남자),용역(남자),특수형태(남자),일일(남자),가정내(남자),비정규직(여자),비전형(여자),파견(여자),용역(여자),특수형태(여자),일일(여자),가정내(여자)
2004.08_근로자수 (천명),5407,1947,119,407,709,669,172,2739,970,56,233,308,398,24,2668,977,63,174,401,272,148
2004.08_구성비 (비정규직대비),100,36,2.2,7.5,13.1,12.4,3.2,100,35.4,2,8.5,11.2,14.5,0.9,100,36.6,2.4,6.5,15,10.2,5.6
2004.08_증감 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004.08_증감률 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005.08_근로자수 (천명),5469,1896,119,425,633,713,139,2727,960,44,243,240,463,14,2741,935,75,181,393,250,126
2005.08_구성비 (비정규직대비),100,34.7,2.2,7.8,11.6,13,2.5,100,35.2,1.6,8.9,8.8,17,0.5,100,34.1,2.7,6.6,14.3,9.1,4.6
2005.08_증감 (전년동월),62,51,0,18,76,44,33,12,9,12,11,68,65,10,74,42,12,8,8,22,23
2005.08_증감률 (전년동월),1.1,2.6,0.3,4.4,10.8,6.6,19,0.4,0.9,22,4.5,22.2,16.4,41.9,2.8,4.3,19,4.3,2,7.9,15.3
2006.08_근로자수 (천명),5465,1918,131,488,615,662,175,2710,909,66,262,185,434,15,2755,1009,65,226,430,228,160
2006.08_구성비 (비정규직대비),100,35.1,2.4,8.9,11.3,12.1,3.2,100,33.5,2.4,9.7,6.8,16,0.6,100,36.6,2.4,8.2,15.6,8.3,5.8
2006.08_증감 (전년동월),4,22,12,64,18,51,36,17,51,22,19,55,29,1,13,74,10,44,37,22,34
2006.08_증감률 (전년동월),0.1,1.2,10.2,15,2.8,7.2,25.6,0.6,5.4,51.4,7.9,22.9,6.3,10.2,0.5,7.9,13.7,24.5,9.5,8.9,27.3
2007.03_근로자수 (천명),5798,2234,175,578,643,908,154,2986,1172,81,350,223,588,16,2811,1062,95,228,421,320,138
2007.03_구성비 (비정규직대비),100,38.5,3,10,11.1,15.7,2.7,100,39.3,2.7,11.7,7.5,19.7,0.5,100,37.8,3.4,8.1,15,11.4,4.9
2007.03_증감 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007.03_증감률 (전년동월),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007.08_근로자수 (천명),5732,2204,176,587,637,844,124,2928,1140,84,337,216,553,24,2804,1065,92,250,421,291,101
2007.08_구성비 (비정규직대비),100,38.5,3.1,10.2,11.1,14.7,2.2,100,38.9,2.9,11.5,7.4,18.9,0.8,100,38,3.3,8.9,15,10.4,3.6
2007.08_증감 (전년동월),268,286,45,99,22,182,50,218,231,18,75,31,119,8,50,56,27,24,9,63,59
2007.08_증감률 (전년동월),4.9,14.9,34.3,20.3,3.5,27.5,28.8,8,25.4,26.8,28.5,16.8,27.5,55.6,1.8,5.5,41.9,10.7,2.2,27.5,36.8
2008.03_근로자수 (천명),5667,2338,174,613,605,943,152,2859,1271,92,371,207,622,42,2807,1067,82,243,399,321,111
2008.03_구성비 (비정규직대비),100,41.3,3.1,10.8,10.7,16.6,2.7,100,44.5,3.2,13,7.2,21.8,1.5,100,38,2.9,8.6,14.2,11.4,3.9
