일자리선택동기별,계,자발적 사유,자발적_계,근로조건에 만족,안정적인 일자리,직장이동 등 1),노력한 만큼 수입 등 2),비자발적 사유,비자발적_계,당장 수입이 필요,원하는 일자리 없음 등3),직장이동 등 1),노력한 만큼 수입 등 2)
2006.08_정규직,100,77.7,100,45.8,42.9,7.3,3.9,22.3,100,63.5,26.5,8.3,1.7
2006.08_비정규직,100,51.7,100,42.3,27.9,17,12.7,48.3,100,64.9,19.6,9.9,5.6
2006.08_한시적,100,57.5,100,45.8,33.9,13.4,6.9,42.5,100,63.6,21.3,10.7,4.5
2006.08_기간제,100,57,100,46.7,33.2,13.4,6.7,43,100,63.5,19.5,12,4.9
2006.08_비기간제,100,58.9,100,43.1,36,13.3,7.5,41.1,100,63.7,26.8,6.4,3.1
2006.08_시간제,100,47.2,100,31.9,6.6,44.8,16.8,52.8,100,55.9,16.5,21.5,6
2006.08_비전형,100,37.2,100,36.3,18.9,15.8,29,62.8,100,68.7,17.5,6.8,7
2007.03_정규직,100,76.6,100,43.2,45.4,7.3,4.1,23.4,100,65.9,25,7.1,1.9
2007.03_비정규직,100,53,100,39.6,28.1,18.3,14,47,100,69.2,18,8.8,4
2007.03_한시적,100,59.5,100,42.9,35.3,14.4,7.4,40.5,100,68.7,19.9,8.6,2.8
2007.03_기간제,100,60.9,100,43.1,35.3,15.3,6.3,39.1,100,67.7,20,9.3,3
2007.03_비기간제,100,56,100,42.4,35.3,11.9,10.4,44,100,71,19.5,7.1,2.4
2007.03_시간제,100,49.4,100,30.1,4.6,47.1,18.3,50.6,100,59.6,14.6,20.8,5
2007.03_비전형,100,39.2,100,36.9,17.3,16.5,29.3,60.8,100,72.7,16.3,6,5
2007.08_정규직,100,79,100,42.2,46.8,7.6,3.4,21,100,68.5,21.9,7.9,1.7
2007.08_비정규직,100,54.1,100,41.4,28.2,16.8,13.6,45.9,100,71,15.1,10,4
2007.08_한시적,100,61.6,100,45.6,35.9,12.6,5.9,38.4,100,70.4,16.3,10.1,3.1
2007.08_기간제,100,63.3,100,46.1,34.6,14,5.3,36.7,100,69.2,15.9,11.1,3.7
2007.08_비기간제,100,57.3,100,44.4,39.4,8.8,7.4,42.7,100,73,17.1,7.9,2
2007.08_시간제,100,48.1,100,32.2,4.6,44.9,18.3,51.9,100,58.1,13.1,24.2,4.6
2007.08_비전형,100,40.1,100,38,16.8,14.8,30.4,59.9,100,75.8,13.7,5.7,4.7
2008.03_정규직,100,74.1,100,41.7,50.3,5.2,2.8,25.9,100,60.7,21.7,14,3.6
2008.03_비정규직,100,42,100,39.7,28.2,19.8,12.3,58,100,65.6,15.9,11,7.5
2008.03_한시적,100,49.4,100,45.2,35.6,13.8,5.3,50.6,100,65.4,17.4,12.2,5
2008.03_기간제,100,58.1,100,45.9,36.1,13,5,41.9,100,62.6,18.6,13.8,5.1
2008.03_비기간제,100,28.6,100,41.4,33.6,17.9,7.2,71.4,100,69.4,15.7,10,4.8
2008.03_시간제,100,40.3,100,21.9,3.7,55.9,18.5,59.7,100,56.2,12.8,23.3,7.7
2008.03_비전형,100,30.8,100,40.5,22,12.3,25.2,69.2,100,69.6,14.4,6.5,9.4
2008.08_정규직,100,72.5,100,41.6,50.6,5.1,2.8,27.5,100,60.6,20.6,14.7,4.2
2008.08_비정규직,100,40.3,100,41.6,29.3,18.6,10.5,59.7,100,63.7,15.6,13,7.8
2008.08_한시적,100,49.6,100,45.4,35,14.3,5.3,50.4,100,63,18,13.7,5.4
2008.08_기간제,100,55.8,100,46.3,34.7,13.9,5.1,44.2,100,61.4,18.1,15.3,5.3
2008.08_비기간제,100,33.9,100,41.6,36.4,15.6,6.4,66.1,100,65.7,17.8,11,5.5
2008.08_시간제,100,32,100,25.7,3.2,53.1,18.1,68,100,53.4,12.9,26.1,7.6
2008.08_비전형,100,26.9,100,40.4,23.2,14.2,22.2,73.1,100,69.7,13.1,6.8,10.4
2009.03_정규직,100,73.4,100,43.2,50.6,4.1,2.1,26.6,100,62.7,20.3,12.7,4.3
2009.03_비정규직,100,37.2,100,42.8,29.3,17.5,10.3,62.8,100,64.5,16.3,12.3,6.9
2009.03_한시적,100,46.2,100,47,35.3,12.4,5.3,53.8,100,65.5,18.5,12.7,3.3
2009.03_기간제,100,54.7,100,47.3,36.6,11.2,5,45.3,100,63.8,18.9,14,3.3
2009.03_비기간제,100,11.6,100,41.2,9.9,37.2,11.8,88.4,100,69.1,17.5,9.9,3.5
2009.03_시간제,100,30.7,100,26.8,2.3,53.3,17.7,69.3,100,53.9,13.7,25.2,7.2
2009.03_비전형,100,25.7,100,40.7,25.4,13.1,20.8,74.3,100,68.9,14.1,6.7,10.3
2009.08_정규직,100,77.1,100,42.7,50.3,4.6,2.4,22.9,100,66.9,20.1,10.3,2.8
2009.08_비정규직,100,42.7,100,43.6,23.7,19.3,13.3,57.3,100,69.8,15.5,9.5,5.1
2009.08_한시적,100,48.9,100,48.4,30.2,15.1,6.3,51.1,100,68.9,19.5,9,2.7
2009.08_기간제,100,53.3,100,49.3,29.6,15.2,5.8,46.7,100,67.4,20.7,9.5,2.4
2009.08_비기간제,100,30.7,100,41.9,34.5,14.1,9.5,69.3,100,72.8,16.2,7.6,3.4
2009.08_시간제,100,38.1,100,31.6,4.1,47,17.3,61.9,100,59.3,13.7,21.2,5.8
2009.08_비전형,100,32.9,100,39.3,17.2,14.9,28.6,67.1,100,76.2,11.3,5.3,7.2
2010.03_정규직,100,75.5,100,42,50.4,5.2,2.5,24.5,100,68.8,21.1,8.2,1.8
2010.03_비정규직,100,45.6,100,40.7,24.8,20.2,14.3,54.4,100,72.3,15.7,8.1,3.9
2010.03_한시적,100,53.6,100,46.9,31.2,15.1,6.8,46.4,100,71.4,18.7,7.4,2.5
2010.03_기간제,100,56.7,100,47.4,30.2,16.3,6.2,43.3,100,70.5,19.5,7.6,2.4
2010.03_비기간제,100,44.6,100,45.1,34.8,10.7,9.4,55.4,100,73.5,17,6.8,2.7
2010.03_시간제,100,38.8,100,27.2,4.2,51.9,16.7,61.2,100,65.7,14.4,15,4.9
2010.03_비전형,100,34.4,100,34.2,20.6,13.7,31.5,65.6,100,79,12.8,3.8,4.3
2010.08_정규직,100,75.3,100,41.9,50.3,5.1,2.7,24.7,100,71,19.8,7.4,1.7
2010.08_비정규직,100,45.5,100,41.1,23.9,19.2,15.7,54.5,100,72.6,14.7,9.5,3.3
2010.08_한시적,100,52.8,100,46,31.7,15,7.3,47.2,100,70.6,17.6,9.7,2.1
2010.08_기간제,100,55.9,100,47.5,30.6,14.8,7.1,44.1,100,69.7,18.5,9.9,2
2010.08_비기간제,100,43.3,100,39.9,35.9,16.1,8.1,56.7,100,72.9,15.3,9.3,2.5
2010.08_시간제,100,39.5,100,31.1,4.2,47.2,17.4,60.5,100,64.5,13.5,18.5,3.5
2010.08_비전형,100,36.1,100,35.7,18.5,13.1,32.8,63.9,100,80.6,11.6,3.7,4.1
2011.03_정규직,100,75.3,100,44.9,48.3,4.3,2.5,24.7,100,72.1,19.7,6.7,1.5
2011.03_비정규직,100,47.9,100,45.2,24.2,17,13.6,52.1,100,73.1,15,8.8,3.1
2011.03_한시적,100,56,100,50.3,31.8,11.6,6.3,44,100,70.4,18.1,8.8,2.6
2011.03_기간제,100,57.9,100,52.5,29.9,11.6,6,42.1,100,69.9,18.4,9.3,2.5
2011.03_비기간제,100,50.9,100,43.5,37.8,11.6,7.1,49.1,100,71.6,17.6,7.7,3
2011.03_시간제,100,42.5,100,33.2,4.6,45,17.2,57.5,100,64.7,13.5,17.8,4.1
2011.03_비전형,100,36.3,100,41.5,15.6,14,28.9,63.7,100,80.5,11.9,4.5,3.2
2011.08_정규직,100,76,100,45,47.4,5,2.6,24,100,72.9,19,6.8,1.4
2011.08_비정규직,100,47.5,100,44.4,23.2,18.9,13.4,52.5,100,76.4,13,7.9,2.7
2011.08_한시적,100,55,100,49.6,30.7,14.1,5.6,45,100,74.4,15.4,8.5,1.6
2011.08_기간제,100,57.4,100,51,28.7,14.9,5.4,42.6,100,73.2,16,9.2,1.5
2011.08_비기간제,100,46.7,100,43.7,39.1,10.8,6.5,53.3,100,77.7,13.8,6.6,2
2011.08_시간제,100,44.6,100,35.4,3.5,43.4,17.7,55.4,100,68.3,12.6,15.1,4
2011.08_비전형,100,35.4,100,40.2,17.1,14.1,28.6,64.6,100,83.5,10.4,2.9,3.2
2012.03_정규직,100,76.7,100,45.7,46.7,5.1,2.5,23.3,100,72.5,19.7,6.6,1.2
2012.03_비정규직,100,50.5,100,47.5,23,16.8,12.7,49.5,100,74.5,14.5,8.3,2.7
2012.03_한시적,100,57.9,100,52.6,30.2,12.3,4.9,42.1,100,73.2,16.8,8.2,1.8
2012.03_기간제,100,59.9,100,54.4,28.3,12.9,4.4,40.1,100,72.2,17.1,9.1,1.6
2012.03_비기간제,100,51.7,100,46.2,37,10.3,6.6,48.3,100,75.7,16,6.1,2.2
2012.03_시간제,100,45.5,100,39.9,5.2,38.6,16.3,54.5,100,65.7,13.9,16.8,3.6
2012.03_비전형,100,37.3,100,42.5,16.6,13.1,27.8,62.7,100,81.8,11.6,3.8,2.8
2012.08_정규직,100,77.2,100,45.3,47.7,4.7,2.4,22.8,100,72.2,18.3,8,1.6
2012.08_비정규직,100,49.1,100,46.3,23,18.4,12.3,50.9,100,74.5,13.4,9.5,2.7
2012.08_한시적,100,56.2,100,50.6,30.3,13.8,5.3,43.8,100,73.5,15.1,10.1,1.4
2012.08_기간제,100,59,100,51.2,29.8,13.9,5.1,41,100,71.7,15.9,11,1.4
2012.08_비기간제,100,45.3,100,47.1,32.9,13.4,6.7,54.7,100,78.5,12.8,7.4,1.2
2012.08_시간제,100,44.1,100,38.1,6,41.3,14.6,55.9,100,67.1,11.1,18.7,3.1
2012.08_비전형,100,37.4,100,42.7,17,13.5,26.8,62.6,100,82.6,11.4,2.8,3.2
2013.03_정규직,100,77.5,100,47.3,46.2,4.1,2.4,22.5,100,70.9,20.6,7.1,1.4
2013.03_비정규직,100,49.1,100,47.5,22.9,17.6,12,50.9,100,72.2,16.3,9,2.5
2013.03_한시적,100,54.9,100,52.2,30.4,12.4,5,45.1,100,71.2,18.5,8.9,1.4
2013.03_기간제,100,58.6,100,53.4,29.9,12.1,4.6,41.4,100,68.7,19.5,10.4,1.4
2013.03_비기간제,100,42.1,100,46.1,33.3,13.6,7.1,57.9,100,77.5,16.1,5,1.4
2013.03_시간제,100,44.1,100,37.7,5.7,43.2,13.4,55.9,100,63.3,15.2,18.1,3.3
2013.03_비전형,100,37.9,100,45,16.9,12.5,25.5,62.1,100,80.7,13.7,3.3,2.3
2013.08_정규직,100,76.7,100,46.5,46.9,4.2,2.4,23.3,100,72.9,19.5,6.5,1.2
2013.08_비정규직,100,48.8,100,46.9,23,18.6,11.5,51.2,100,73.2,15.2,8.6,2.9
2013.08_한시적,100,55.2,100,51.7,30.1,13,5.2,44.8,100,71.5,17.8,8.8,1.9
2013.08_기간제,100,57.9,100,53.2,29.1,12.8,5,42.1,100,70.2,18.1,9.6,2
2013.08_비기간제,100,44,100,43.9,35.4,14.1,6.5,56,100,75.4,16.7,6.3,1.7
2013.08_시간제,100,44.4,100,38.7,5.5,43.5,12.3,55.6,100,66.3,14.9,15,3.9
2013.08_비전형,100,36.4,100,44.3,18.4,11.7,25.7,63.6,100,81.1,12,3.7,3.2
2014.03_정규직,100,76.4,100,46.5,46.2,5,2.3,23.6,100,73.2,19.8,6,1
2014.03_비정규직,100,49.2,100,46.6,22.6,19.4,11.3,50.8,100,73.3,15.3,8.7,2.7
2014.03_한시적,100,55,100,51.1,31,13.3,4.6,45,100,73,16.5,8.8,1.8
2014.03_기간제,100,57.1,100,52.9,29.5,13.2,4.5,42.9,100,72.7,17,8.6,1.7
2014.03_비기간제,100,48.3,100,44.3,36.8,13.8,5,51.7,100,73.7,15.2,9.1,2
2014.03_시간제,100,45.3,100,38.9,4.4,43.9,12.8,54.7,100,64.7,14.6,17.3,3.3
2014.03_비전형,100,36.6,100,45.3,16.3,13.2,25.2,63.4,100,80.6,12.8,3.5,3.1
2014.08_정규직,100,76.5,100,47.3,46,4.4,2.3,23.5,100,72.7,19.6,6.5,1.2
2014.08_비정규직,100,49.6,100,46,21.1,21,11.9,50.4,100,72.9,15.2,9.4,2.5
2014.08_한시적,100,55,100,50.6,28.8,15.8,4.9,45,100,72.9,15.9,9.5,1.7
2014.08_기간제,100,56.9,100,51.8,27.5,16,4.7,43.1,100,72.2,15.7,10.5,1.7
2014.08_비기간제,100,48,100,45.3,34,15.2,5.5,52,100,75.1,16.7,6.5,1.7
2014.08_시간제,100,47.7,100,37.8,3.7,44.6,13.9,52.3,100,63.3,15.3,18,3.4
