근로형태별,임금근로자,정규직,비정규직,비정규직(시간제제외),한시적,기간제,비기간제,시간제,비전형
2004.08_월평균임금,154.1,176.9,115.3,130.4,123.3,118.8,133.5,53.9,106.6
2004.08_증감(전년동월),0,0,0,0,0,0,0,0,0
2004.08_증감률(전년동월),0,0,0,0,0,0,0,0,0
2005.08_월평균임금,159.1,184,115.8,130.7,124.1,125.9,118.8,52.2,108.2
2005.08_증감(전년동월),5,7.1,0.5,0.3,0.8,7.1,-14.7,-1.7,1.6
2005.08_증감률(전년동월),3.2,4,0.4,0.2,0.6,6,-11,-3.2,1.5
2006.08_월평균임금,165.6,190.5,120.2,137,131.5,129.4,137.7,55.2,104.9
2006.08_증감(전년동월),6.5,6.5,4.4,6.3,7.4,3.5,18.9,3,-3.3
2006.08_증감률(전년동월),4.1,3.5,3.8,4.8,6,2.8,15.9,5.7,-3
2007.03_월평균임금,172.4,198.2,127.7,147.4,144.3,143.2,147.3,54.4,109.1
2007.03_증감(전년동월),0,0,0,0,0,0,0,0,0
2007.03_증감률(전년동월),0,0,0,0,0,0,0,0,0
2007.08_월평균임금,174.6,200.7,127.9,146.9,144.2,142.1,149.5,56.1,111.5
2007.08_증감(전년동월),9,10.2,7.7,9.9,12.7,12.7,11.8,0.9,6.6
2007.08_증감률(전년동월),5.4,5.4,6.4,7.2,9.7,9.8,8.6,1.6,6.3
2008.03_월평균임금,181.1,210.1,127.5,148.8,144.3,152.7,124.3,55.9,119.3
2008.03_증감(전년동월),8.7,11.9,-0.2,1.4,0,9.5,-23,1.5,10.2
2008.03_증감률(전년동월),5,6,-0.2,0.9,0,6.6,-15.6,2.8,9.3
2008.08_월평균임금,184.7,212.6,129.9,150.8,146,149.2,137.9,57.5,119.9
2008.08_증감(전년동월),10.1,11.9,2,3.9,1.8,7.1,-11.6,1.4,8.4
2008.08_증감률(전년동월),5.8,5.9,1.6,2.7,1.2,5,-7.8,2.5,7.5
2009.03_월평균임금,185.7,216.9,123.5,145.1,140.5,149.2,104.7,55.8,113.2
2009.03_증감(전년동월),4.6,6.8,-4,-3.7,-3.8,-3.5,-19.6,-0.1,-6.1
2009.03_증감률(전년동월),2.5,3.2,-3.1,-2.5,-2.6,-2.3,-15.8,-0.2,-5.1
2009.08_월평균임금,185.5,220.2,120.5,142.4,130.3,131.4,126.1,53.7,119.4
2009.08_증감(전년동월),0.8,7.6,-9.4,-8.4,-15.7,-17.8,-11.8,-3.8,-0.5
2009.08_증감률(전년동월),0.4,3.6,-7.2,-5.6,-10.8,-11.9,-8.6,-6.6,-0.4
2010.03_월평균임금,194.8,228.9,125.5,152.3,141.9,138.5,151.6,55.5,122.1
2010.03_증감(전년동월),9.1,12,2,7.2,1.4,-10.7,46.9,-0.3,8.9
2010.03_증감률(전년동월),4.9,5.5,1.6,5,1,-7.2,44.8,-0.5,7.9
2010.08_월평균임금,195,229.4,126,153.6,140.1,136.1,152.9,56.5,125.1
2010.08_증감(전년동월),9.5,9.2,5.5,11.2,9.8,4.7,26.8,2.8,5.7
2010.08_증감률(전년동월),5.1,4.2,4.6,7.9,7.5,3.6,21.3,5.2,4.8
2011.03_월평균임금,202.6,236.7,135.8,163.4,155.2,148.8,172.5,58.9,126.7
2011.03_증감(전년동월),7.8,7.8,10.3,11.1,13.3,10.3,20.9,3.4,4.6
2011.03_증감률(전년동월),4,3.4,8.2,7.3,9.4,7.4,13.8,6.1,3.8
