근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2007.08_교육훈련경험자 비율,24.9,28.4,18.7,21.3,22.4,18.3,8.6,18.1
2007.08_교육훈련경험자 증감(전년동월),0,0,0,0,0,0,0,0
2007.08_평균교육훈련시간,32,33,30,28,28,31,31,30
2007.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2008.03_교육훈련경험자 비율,24.5,28.3,17.5,19,22.2,11.4,7.8,18.3
2008.03_교육훈련경험자 증감(전년동월),0,0,0,0,0,0,0,0
2008.03_평균교육훈련시간,36,37,32,31,33,22,28,32
2008.03_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2008.08_교육훈련경험자 비율,26.9,30.4,19.9,21.3,23.9,14.7,8.4,20.7
2008.08_교육훈련경험자 증감(전년동월),2,2,1.2,0,1.5,-3.6,-0.2,2.6
2008.08_평균교육훈련시간,38,39,34,33,34,29,31,37
2008.08_평균교육훈련시간 증감(전년동월),5,6,5,5,7,-2,0,7
2009.03_교육훈련경험자 비율,30.9,34.6,23.5,25.7,29.5,10,13.2,24.6
2009.03_교육훈련경험자 증감(전년동월),6.4,6.3,6,6.7,7.3,-1.4,5.4,6.3
2009.03_평균교육훈련시간,38,39,35,28,29,25,37,42
2009.03_평균교육훈련시간 증감(전년동월),3,3,3,-3,-4,2,10,10
2009.08_교육훈련경험자 비율,30.8,34.7,23.6,25.2,28.1,13.4,15,24.8
2009.08_교육훈련경험자 증감(전년동월),3.9,4.3,3.7,3.9,4.2,-1.3,6.6,4.1
2009.08_평균교육훈련시간,37,40,29,23,23,27,32,35
2009.08_평균교육훈련시간 증감(전년동월),-1,1,-5,-10,-11,-3,1,-2
2010.03_교육훈련경험자 비율,32.7,36.2,25.5,29.1,32.6,19,15.7,26.3
2010.03_교육훈련경험자 증감(전년동월),1.8,1.6,2,3.4,3.1,9,2.5,1.7
2010.03_평균교육훈련시간,37,39,31,27,26,33,30,37
2010.03_평균교육훈련시간 증감(전년동월),-1,0,-4,-1,-3,8,-7,-5
2010.08_교육훈련경험자 비율,31.2,34.6,24.4,28.4,32.3,16.3,14.4,24.4
2010.08_교육훈련경험자 증감(전년동월),0.4,-0.1,0.8,3.2,4.2,2.9,-0.6,-0.4
2010.08_평균교육훈련시간,37,39,29,25,24,30,23,34
2010.08_평균교육훈련시간 증감(전년동월),0,-1,-1,2,2,4,-10,-1
2011.03_교육훈련경험자 비율,35.4,39.1,28.2,32.3,35.9,22.6,17.2,28.1
2011.03_교육훈련경험자 증감(전년동월),2.7,2.9,2.7,3.2,3.3,3.6,1.5,1.8
2011.03_평균교육훈련시간,37,39,32,27,25,34,28,40
2011.03_평균교육훈련시간 증감(전년동월),0,0,1,-1,-1,1,-2,3
2011.08_교육훈련경험자 비율,35.5,39.5,27.8,32.4,35.9,20.6,16.5,27.8
2011.08_교육훈련경험자 증감(전년동월),4.3,4.9,3.4,4,3.6,4.3,2.1,3.4
2011.08_평균교육훈련시간,35,38,27,24,23,26,22,33
2011.08_평균교육훈련시간 증감(전년동월),-1,-1,-1,-2,-1,-5,0,-2
2012.03_교육훈련경험자 비율,37.5,41.2,30.1,34.8,39,22.1,18.1,29.4
2012.03_교육훈련경험자 증감(전년동월),2.1,2.1,1.9,2.5,3.1,-0.5,0.9,1.3
2012.03_평균교육훈련시간,36,39,29,26,25,32,25,33
2012.03_평균교육훈련시간 증감(전년동월),-1,0,-3,-1,0,-2,-3,-7
2012.08_교육훈련경험자 비율,37.3,41.5,28.9,33.9,37.3,20.8,18,28.1
2012.08_교육훈련경험자 증감(전년동월),1.8,2,1.1,1.5,1.4,0.2,1.5,0.3
2012.08_평균교육훈련시간,36,39,30,28,28,31,22,32
2012.08_평균교육훈련시간 증감(전년동월),1,0,2,4,4,5,-1,-1
2013.03_교육훈련경험자 비율,46.5,50.7,37.8,45.2,50.1,28,27.1,34.6
2013.03_교육훈련경험자 증감(전년동월),9,9.5,7.7,10.4,11.1,5.9,9,5.2
2013.03_평균교육훈련시간,34,36,27,25,24,31,23,28
2013.03_평균교육훈련시간 증감(전년동월),-3,-3,-2,-1,0,-1,-1,-4
2013.08_교육훈련경험자 비율,46.9,51.5,37.4,45.4,48.5,32.9,26.1,34.2
2013.08_교육훈련경험자 증감(전년동월),9.6,10,8.5,11.5,11.2,12.1,8.1,6.1
2013.08_평균교육훈련시간,34,36,28,25,25,24,22,29
2013.08_평균교육훈련시간 증감(전년동월),-2,-3,-2,-4,-3,-7,1,-3
2014.03_교육훈련경험자 비율,49,53.4,39.6,48.3,52.9,33.7,29,34.4
2014.03_교육훈련경험자 증감(전년동월),2.5,2.7,1.8,3.1,2.8,5.7,1.9,-0.2
2014.03_평균교육훈련시간,0,0,0,0,0,0,0,0
2014.03_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2014.08_교육훈련경험자 비율,52.5,57,43,52.3,56.8,35.9,32.3,38.9
2014.08_교육훈련경험자 증감(전년동월),5.6,5.5,5.6,6.9,8.3,3,6.2,4.7
2014.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2014.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2015.03_교육훈련경험자 비율,53.4,58.1,43.2,52.1,57,35.9,33,39.2
2015.03_교육훈련경험자 증감(전년동월),4.4,4.7,3.6,3.8,4.1,2.2,4,4.8
