근로형태별,임금근로자,정규직,비정규직,한시적,시간제,비전형
2004.08_전체,100,100,100,100,100,100
2004.08_시급제,4.2,1.7,8.6,7.1,31.7,6.2
2004.08_일급제,13.4,4.6,28.4,25.3,29.5,33.7
2004.08_주급제,0.4,0.2,0.7,0.6,1.1,0.8
2004.08_월급제,65,80.8,38,44.5,22.5,28.1
2004.08_연봉제,11.2,10.6,12.3,17.4,0.3,3.6
2004.08_실적급제,5.5,1.9,11.6,4.6,13.9,27.2
2004.08_기타,0.2,0.2,0.3,0.3,0.9,0.4
2005.08_전체,100,100,100,100,100,100
2005.08_시급제,4.3,1.5,9,7.9,32.6,5.5
2005.08_일급제,13.8,4.6,29.7,25.8,30.4,37.7
2005.08_주급제,0.4,0.2,0.9,0.9,1.5,0.5
2005.08_월급제,63.9,79.6,36.7,44.1,22,24.1
2005.08_연봉제,12.1,12.3,11.6,16.9,0.2,2.6
2005.08_실적급제,5.3,1.6,11.7,4.2,12.3,29.1
2005.08_기타,0.2,0.1,0.3,0.2,0.9,0.5
2006.08_전체,100,100,100,100,100,100
2006.08_시급제,4.3,1.7,9.1,7.6,31.6,5.8
2006.08_일급제,13,4.8,27.8,23.7,29,35.5
2006.08_주급제,0.3,0.1,0.7,0.7,1.6,0.5
2006.08_월급제,63.6,78.2,37,45,23.8,24.7
2006.08_연봉제,13.3,13.5,12.7,18.8,0.1,1.8
2006.08_실적급제,5.4,1.5,12.4,4.1,13.1,31.5
2006.08_기타,0.1,0.1,0.2,0.2,0.8,0.2
2007.03_전체,100,100,100,100,100,100
2007.03_시급제,4.3,1.7,8.7,6.7,30.9,6.4
2007.03_일급제,13.1,4.5,28.1,21,31.6,38.2
2007.03_주급제,0.3,0.1,0.5,0.4,1.3,0.6
2007.03_월급제,62.1,77.5,35.4,44.9,20.9,23.9
2007.03_연봉제,14.3,14.1,14.6,22.6,0.4,2.4
2007.03_실적급제,5.8,1.9,12.4,4.2,14.2,28.3
2007.03_기타,0.2,0.1,0.2,0.2,0.8,0.1
2007.08_전체,100,100,100,100,100,100
2007.08_시급제,4.8,2,9.8,7.2,35.1,6.2
2007.08_일급제,12.2,4.4,26.2,19,28.7,37.3
2007.08_주급제,0.3,0.1,0.5,0.4,0.7,0.5
2007.08_월급제,61.8,76.3,35.8,46.4,23.4,23.2
2007.08_연봉제,15.1,15.4,14.7,22.7,0.1,3
2007.08_실적급제,5.7,1.7,12.9,4.2,11.7,29.8
2007.08_기타,0.1,0.1,0.2,0.2,0.4,0.1
2008.03_전체,100,100,100,100,100,100
2008.03_시급제,5.2,2.3,10.7,8.1,35.1,5.9
2008.03_일급제,12.8,4.3,28.4,20.5,30.3,38.2
2008.03_주급제,0.3,0.1,0.6,0.4,1.2,0.7
2008.03_월급제,60.6,74.4,35.2,46.7,20.3,26
2008.03_연봉제,15.5,17.2,12.4,20.5,0.4,3.2
2008.03_실적급제,5.3,1.5,12.4,3.6,11.9,25.8
2008.03_기타,0.2,0.1,0.3,0.3,0.8,0.2
2008.08_전체,100,100,100,100,100,100
2008.08_시급제,5.3,2.4,11.1,8,38.9,6.4
2008.08_일급제,12.3,5,26.6,19.3,25.6,36.4
2008.08_주급제,0.2,0.1,0.5,0.3,1.1,0.5
2008.08_월급제,60.7,73,36.7,48.2,22.7,26.6
2008.08_연봉제,16.2,18,12.8,20.6,0,2.6
2008.08_실적급제,5.1,1.5,12.2,3.4,11.2,27.4
2008.08_기타,0.1,0.1,0.1,0,0.4,0.1
2009.03_전체,100,100,100,100,100,100
2009.03_시급제,5.2,2.2,11.2,7.8,35.4,7.2
2009.03_일급제,12.4,4.8,27.7,21,27.6,36.7
2009.03_주급제,0.3,0.2,0.5,0.4,0.9,0.5
2009.03_월급제,60.2,72.7,35.2,47.6,23.1,24
2009.03_연봉제,16.5,18.6,12.3,20.1,0.2,3
2009.03_실적급제,5.4,1.6,13,3.2,12.5,28.6
2009.03_기타,0.1,0.1,0.1,0,0.3,0
2009.08_전체,100,100,100,100,100,100
2009.08_시급제,5.9,2.5,12.3,9.9,38.1,6.4
2009.08_일급제,12.5,4.3,27.9,21.9,25.5,35.8
2009.08_주급제,0.2,0.1,0.3,0.2,0.5,0.5
2009.08_월급제,59.2,71.2,36.7,49.1,24.5,25.6
2009.08_연봉제,16.7,20.2,10.3,16.1,0.3,3.1
2009.08_실적급제,5.4,1.7,12.4,2.8,10.9,28.6
2009.08_기타,0.1,0,0.1,0,0.3,0.1
2010.03_전체,100,100,100,100,100,100
2010.03_시급제,4.8,1.9,10.6,7.1,30.8,5.4
2010.03_일급제,11.8,4.5,26.7,18.4,29.1,36.4
2010.03_주급제,0.2,0.1,0.3,0.1,0.6,0.2
2010.03_월급제,59.9,70.5,38.5,53.3,28.1,25.1
2010.03_연봉제,17.4,20.8,10.6,17.6,0.5,2.9
2010.03_실적급제,5.7,2,13.3,3.4,10.6,29.9
2010.03_기타,0.1,0.1,0.1,0.1,0.3,0.1
2010.08_전체,100,100,100,100,100,100
2010.08_시급제,4.9,1.9,10.9,7.7,31.6,4.3
2010.08_일급제,11.8,4.7,26.1,16.7,26.6,37.1
2010.08_주급제,0.2,0.1,0.4,0.4,0.5,0.2
2010.08_월급제,59.5,69.7,38.9,54.5,29.7,26.1
2010.08_연봉제,17.8,21.5,10.4,17.3,0.3,3.1
2010.08_실적급제,5.7,2,13.2,3.3,10.8,29.2
2010.08_기타,0.1,0.1,0.2,0.1,0.5,0
2011.03_전체,100,100,100,100,100,100
2011.03_시급제,5.1,2.4,10.5,7.5,32.3,5.2
2011.03_일급제,11.1,4.6,23.9,13.9,25.5,35.6
2011.03_주급제,0.1,0.1,0.3,0.2,0.5,0.3
2011.03_월급제,60.4,70.5,40.4,56.6,28.6,26.7
2011.03_연봉제,17.4,20.4,11.4,18.5,0.7,2.7
2011.03_실적급제,5.7,1.9,13.3,3.1,12,29.2
2011.03_기타,0.1,0.1,0.2,0.2,0.4,0.2
2011.08_전체,100,100,100,100,100,100
2011.08_시급제,5.6,2.5,11.5,8.7,32.8,5
2011.08_일급제,11.9,4.9,25.3,15.5,23.9,37.9
2011.08_주급제,0.2,0.1,0.2,0.1,0.4,0.3
2011.08_월급제,59.5,69.5,40.2,56.6,30.8,26.1
2011.08_연봉제,17.2,21.1,9.8,16,0.7,2.4
2011.08_실적급제,5.6,1.9,12.9,3,11.1,28.3
2011.08_기타,0.1,0.1,0.1,0.1,0.4,0
2012.03_전체,100,100,100,100,100,100
2012.03_시급제,5.3,2.4,11.3,8.7,30.8,5.4
2012.03_일급제,10.5,4.4,22.8,13.5,23.3,35.1
2012.03_주급제,0.2,0.1,0.3,0.2,0.8,0.3
2012.03_월급제,60.9,70.2,42.2,57,34.2,27.9
2012.03_연봉제,17.4,20.8,10.6,17.4,0.5,2.2
2012.03_실적급제,5.5,2,12.7,3,10,29
2012.03_기타,0.1,0.1,0.1,0.1,0.4,0.1
2012.08_전체,100,100,100,100,100,100
2012.08_시급제,6,2.5,13.2,10.3,34.3,5.9
2012.08_일급제,10.3,4,23.2,13.9,23.2,34.8
2012.08_주급제,0.2,0.1,0.3,0.2,0.5,0.2
2012.08_월급제,61.2,70.9,41.6,57.2,31.1,29.5
2012.08_연봉제,16.8,20.4,9.5,15.6,0.6,2.7
