유연근무제 활용형태,계,근로시간단축근무제,시차출퇴근제,선택적 근무시간제,재택 및 원격근무제,탄력적 근무제,기타유형(재량근무 등)
2015.08_유연근무제 활용,902,4,379,300,66,238,111
2015.08_비중,100,0.4,42,33.2,7.3,26.3,12.3
2016.08_유연근무제 활용,823,65,314,260,60,195,13
2016.08_비중,100,7.8,38.1,31.6,7.3,23.7,1.5
2017.08_유연근무제 활용,1041,103,400,332,59,271,95
2017.08_비중,100,9.9,38.4,31.9,5.6,26,9.1
2018.08_유연근무제 활용,1675,252,556,541,79,458,183
2018.08_비중,100,15.1,33.2,32.3,4.7,27.3,10.9
2019.08_유연근무제 활용,2215,378,746,674,95,710,213
2019.08_비중,100,17.1,33.7,30.4,4.3,32,9.6
2020.08_유연근무제 활용,2898,380,905,766,503,844,297
2020.08_비중,100,13.1,31.2,26.4,17.4,29.1,10.2
2021.08_유연근무제 활용,3534,358,1055,817,1140,969,306
2021.08_비중,100,10.1,29.9,23.1,32.3,27.4,8.7
2022.08_유연근무제 활용,3475,383,1100,861,956,971,316
2022.08_비중,100,11,31.7,24.8,27.5,27.9,9.1
2023.08_유연근무제 활용,3430,328,1131,908,683,1069,316
2023.08_비중,100,9.6,33,26.5,19.9,31.2,9.2
2024.08_유연근무제 활용,3328,400,1165,846,530,982,310
2024.08_비중,100,12,35,25.4,15.9,29.5,9.3
2025.08_유연근무제 활용,3660,447,1215,976,519,1132,325
2025.08_비중,100,12.2,33.2,26.7,14.2,30.9,8.9
