성별_유연근무제 활용여부,계_계,계_활용하고 있음,계_활용하지 않음,남자_계,남자_활용하고 있음,남자_활용하지 않음,여자_계,여자_활용하고 있음,여자_활용하지 않음
2015.08,19474,902,18572,11007,513,10493,8468,389,8079
2016.08,19743,823,18920,11086,475,10611,8658,349,8309
2017.08,20006,1041,18965,11188,612,10576,8818,429,8389
2018.08,20045,1675,18370,11171,1030,10141,8874,645,8229
2019.08,20559,2215,18344,11396,1387,10008,9163,828,8336
2020.08,20446,2898,17548,11361,1805,9556,9085,1093,7991
2021.08,20992,3534,17459,11517,2092,9424,9476,1441,8035
2022.08,21724,3475,18249,11936,2069,9867,9788,1406,8382
2023.08,21954,3430,18524,11927,2041,9887,10027,1389,8637
2024.08,22143,3328,18816,11908,2036,9872,10235,1291,8944
2025.08,22413,3660,18753,11953,2206,9747,10460,1455,9006
