혼인상태별_활용여부,계_계,계_활용하고 있음,계_활용하지 않음,미혼_계,미혼_활용하고 있음,미혼_활용하지 않음,기혼_계,기혼_활용하고 있음,기혼_활용하지 않음
2015.08,19474,902,18572,5612,205,5407,13863,698,13165
2016.08,19743,823,18920,5727,208,5519,14016,615,13401
2017.08,20006,1041,18965,5943,247,5696,14064,794,13269
2018.08,20045,1675,18370,6015,451,5563,14031,1224,12807
2019.08,20559,2215,18344,6271,589,5682,14288,1626,12662
2020.08,20446,2898,17548,6181,866,5315,14265,2032,12233
2021.08,20992,3534,17459,6509,1166,5343,14484,2368,12116
2022.08,21724,3475,18249,6852,1141,5710,14872,2334,12538
2023.08,21954,3430,18524,7061,1182,5878,14893,2248,12646
2024.08,22143,3328,18816,7098,1141,5957,15046,2187,12859
2025.08,22413,3660,18753,7219,1253,5966,15194,2407,12787
