연령별_활용여부,계_계,계_활용하고 있음,계_활용하지 않음,15 - 29세_계,15 - 29세_활용하고 있음,15 - 29세_활용하지 않음,30 - 39세_계,30 - 39세_활용하고 있음,30 - 39세_활용하지 않음,40 - 49세_계,40 - 49세_활용하고 있음,40 - 49세_활용하지 않음,50 - 59세_계,50 - 59세_활용하고 있음,50 - 59세_활용하지 않음,60세이상_계,60세이상_활용하고 있음,60세이상_활용하지 않음
2015.08,19474,902,18572,3670,138,3532,4840,314,4527,5072,252,4820,3946,157,3789,1946,41,1905
2016.08,19743,823,18920,3717,123,3594,4742,298,4444,5039,236,4803,4099,140,3959,2147,26,2120
2017.08,20006,1041,18965,3741,146,3595,4753,366,4387,5044,284,4760,4205,209,3996,2264,36,2227
2018.08,20045,1675,18370,3681,265,3417,4717,581,4136,4970,452,4517,4247,313,3934,2430,64,2366
2019.08,20559,2215,18344,3749,318,3431,4691,752,3939,4979,640,4339,4435,424,4011,2706,81,2625
2020.08,20446,2898,17548,3562,473,3090,4481,890,3591,4900,840,4059,4501,549,3952,3002,146,2856
2021.08,20992,3534,17459,3711,614,3096,4417,1041,3376,4958,999,3959,4649,698,3951,3259,181,3077
2022.08,21724,3475,18249,3796,556,3240,4488,1070,3418,4978,946,4032,4883,694,4189,3580,210,3370
2023.08,21954,3430,18524,3701,555,3146,4571,1028,3543,4976,928,4048,4894,717,4177,3812,203,3609
2024.08,22143,3328,18816,3549,476,3073,4729,1094,3635,4908,890,4018,4925,669,4256,4033,199,3834
2025.08,22413,3660,18753,3389,499,2891,4852,1182,3671,4865,1009,3856,4952,734,4219,4354,238,4117
