향후 유연근무제 활용형태,계,유연근무제 활용 희망,근로시간단축근무제,시차출퇴근제,선택적 근무시간제,재택 및 원격근무제,탄력적 근무제,기타유형(재량근무 등),유연근무제 활용 비희망
2015.08_미활용 임금근로자,18572,6848,1457,1995,2823,547,1871,464,11724
2015.08_비중,100,36.9,21.3,29.1,41.2,8,27.3,6.8,63.1
2016.08_미활용 임금근로자,18920,7426,1642,2035,3021,668,2028,459,11494
2016.08_비중,100,39.2,22.1,27.4,40.7,9,27.3,6.2,60.8
2017.08_미활용 임금근로자,18965,7303,1953,1887,2897,586,1994,460,11662
2017.08_비중,100,38.5,26.7,25.8,39.7,8,27.3,6.3,61.5
2018.08_미활용 임금근로자,18370,6981,1738,1747,2800,520,2060,500,11389
2018.08_비중,100,38,24.9,25,40.1,7.4,29.5,7.2,62
2019.08_미활용 임금근로자,18344,7049,1724,1483,2687,551,2309,626,11295
2019.08_비중,100,38.4,24.5,21,38.1,7.8,32.7,8.9,61.6
2020.08_미활용 임금근로자,17548,7184,1676,1541,2669,896,2307,594,10364
2020.08_비중,100,40.9,23.3,21.4,37.1,12.5,32.1,8.3,59.1
2021.08_미활용 임금근로자,17459,7481,1788,1597,2553,1188,2377,658,9978
2021.08_비중,100,42.8,23.9,21.3,34.1,15.9,31.8,8.8,57.2
2022.08_미활용 임금근로자,18249,8254,1920,1711,2773,1378,2609,706,9995
2022.08_비중,100,45.2,23.3,20.7,33.6,16.7,31.6,8.5,54.8
2023.08_미활용 임금근로자,18524,8710,2104,1715,2971,1415,2731,679,9814
2023.08_비중,100,47,24.2,19.7,34.1,16.2,31.4,7.8,53
2024.08_미활용 임금근로자,18816,9041,2282,1841,3075,1404,2661,724,9775
2024.08_비중,100,48.1,25.2,20.4,34,15.5,29.4,8,51.9
2025.08_미활용 임금근로자,18753,9052,2547,1805,2836,1427,2773,734,9701
2025.08_비중,100,48.3,28.1,19.9,31.3,15.8,30.6,8.1,51.7
