시도별,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2003.08_임금근로자,14195,3320,1099,735,834,409,450,367,0,3167,386,377,465,456,422,700,852,156
2003.08_정규직,9573,2223,780,465,553,272,294,267,0,2239,230,230,302,288,268,477,596,87
2003.08_비정규직,4622,1097,319,270,281,137,156,100,0,929,155,148,163,168,154,223,256,68
2004.08_임금근로자,14618,3442,1119,749,855,416,457,377,0,3313,403,401,512,443,410,690,874,156
2004.08_정규직,9211,2085,759,447,557,279,271,262,0,2147,228,233,299,279,239,460,577,88
2004.08_비정규직,5407,1357,360,301,297,137,186,115,0,1166,175,169,213,164,171,230,298,68
2005.08_임금근로자,14948,3551,1127,749,876,437,455,366,0,3455,394,406,518,468,415,712,873,146
2005.08_정규직,9480,2135,765,469,567,275,271,265,0,2268,235,239,303,272,237,497,602,79
2005.08_비정규직,5469,1416,362,279,309,161,184,101,0,1187,159,167,215,196,178,216,271,67
2006.08_임금근로자,15420,3638,1169,752,905,439,483,367,0,3663,400,411,551,459,422,713,882,168
2006.08_정규직,9956,2117,772,512,580,260,287,269,0,2541,246,259,341,298,257,484,645,88
2006.08_비정규직,5465,1521,396,240,324,180,195,98,0,1123,154,151,210,161,165,229,238,80
2007.03_임금근로자,15844,3705,1179,771,919,471,480,384,0,3759,413,422,598,468,434,739,932,170
2007.03_정규직,10046,2163,779,513,588,281,300,272,0,2479,260,264,341,286,259,504,663,94
2007.03_비정규직,5798,1543,399,258,331,190,180,112,0,1280,154,158,257,182,175,234,270,76
2007.08_임금근로자,16006,3766,1187,765,940,463,494,391,0,3829,408,434,600,478,451,714,921,166
2007.08_정규직,10274,2253,768,525,594,274,333,282,0,2550,243,281,370,303,271,476,654,98
2007.08_비정규직,5732,1513,419,239,346,189,161,109,0,1279,166,153,230,175,180,238,267,68
2008.03_임금근로자,16138,3747,1185,757,937,488,497,396,0,3937,393,425,599,469,443,723,973,169
2008.03_정규직,10472,2334,770,534,572,285,323,280,0,2595,246,284,367,312,264,513,691,102
2008.03_비정규직,5667,1414,415,224,366,202,174,116,0,1342,147,140,232,158,179,209,282,67
2008.08_임금근로자,16258,3768,1159,793,944,476,502,407,0,3904,426,446,628,471,442,743,976,174
2008.08_정규직,10770,2334,767,544,598,282,322,290,0,2748,254,301,409,314,265,517,721,107
2008.08_비정규직,5488,1434,392,249,347,194,180,117,0,1156,172,145,219,157,178,226,256,67
2009.03_임금근로자,16210,3743,1153,774,936,470,501,397,0,3938,423,458,574,471,466,736,1003,168
2009.03_정규직,10803,2404,772,527,608,304,330,277,0,2753,237,319,380,304,268,506,711,104
2009.03_비정규직,5407,1339,381,247,328,165,171,120,0,1186,186,139,194,167,198,230,293,65
2009.08_임금근로자,16609,3699,1159,828,987,497,532,408,0,3986,456,488,618,491,489,766,1028,176
2009.08_정규직,10826,2402,761,543,644,302,333,283,0,2714,243,316,398,291,283,490,717,106
2009.08_비정규직,5783,1297,398,285,342,195,199,125,0,1272,213,172,221,201,205,277,311,70
2010.03_임금근로자,16744,3713,1163,838,1004,493,521,409,0,4062,425,504,636,490,498,771,1044,174
2010.03_정규직,11220,2471,801,577,656,313,343,286,0,2812,248,327,429,306,294,506,748,102
2010.03_비정규직,5524,1242,362,261,348,181,178,123,0,1249,178,176,207,184,203,265,296,72
2010.08_임금근로자,17189,3874,1172,850,1034,510,546,423,0,4163,472,516,649,493,479,781,1057,172
2010.08_정규직,11475,2543,823,586,670,323,356,289,0,2875,245,332,446,306,300,501,781,100
2010.08_비정규직,5715,1331,350,264,364,187,190,134,0,1288,228,183,203,187,179,280,275,72
2011.03_임금근로자,17252,3880,1151,839,1023,501,536,422,0,4217,444,503,674,508,499,796,1083,173
2011.03_정규직,11427,2539,806,602,641,322,336,281,0,2873,243,323,451,331,292,540,749,98
2011.03_비정규직,5825,1342,345,237,383,179,200,141,0,1344,201,181,223,177,208,256,334,75
2011.08_임금근로자,17715,3980,1200,848,1057,518,544,433,0,4324,480,517,683,550,496,836,1066,182
2011.08_정규직,11662,2638,813,596,652,327,348,296,0,2936,267,336,449,344,288,544,722,107
2011.08_비정규직,6053,1342,387,252,405,191,196,137,0,1388,213,181,234,206,208,292,344,76
2012.03_임금근로자,17645,3956,1208,853,1075,517,548,438,0,4288,430,502,715,530,493,844,1064,186
2012.03_정규직,11782,2675,829,603,689,328,337,311,0,2881,253,353,496,332,287,561,734,113
2012.03_비정규직,5863,1281,378,251,387,189,211,127,0,1407,177,149,218,198,206,283,329,73
2012.08_임금근로자,17941,3962,1219,862,1092,514,554,443,0,4436,468,512,736,548,497,830,1083,185
2012.08_정규직,11987,2628,837,607,730,320,341,314,0,3020,266,353,495,343,296,541,790,108
2012.08_비정규직,5954,1334,383,256,363,194,213,129,0,1416,202,159,241,204,202,289,293,77
2013.03_임금근로자,17905,3947,1202,852,1096,501,551,442,0,4462,448,518,749,554,500,830,1070,184
2013.03_정규직,12138,2672,811,603,748,320,331,317,0,3107,276,360,509,341,312,544,784,102
2013.03_비정규직,5767,1275,391,249,348,180,220,125,0,1356,172,158,240,213,188,286,287,82
2013.08_임금근로자,18403,4018,1234,853,1132,505,565,449,0,4669,477,521,768,576,518,839,1092,189
2013.08_정규직,12426,2712,832,600,763,312,343,324,0,3248,285,361,513,343,324,548,815,105
2013.08_비정규직,5977,1306,402,253,369,192,222,126,0,1421,192,161,256,234,193,291,277,83
2014.03_임금근로자,18615,4094,1215,886,1122,527,573,451,0,4681,452,535,771,578,529,852,1140,208
