연령별,15~29세,15~19세,20~24세,25~29세,20~34세
2004.05_청년층인구 전체,10182,3059,3319,3804,0
2004.05_졸업/중퇴,5656,285,1914,3456,0
2004.05_재학,3943,2694,990,259,0
2004.05_휴학,579,80,414,86,0
2004.05_무학,4,1,1,2,0
2005.05_청년층인구 전체,9969,3021,3162,3786,0
2005.05_졸업/중퇴,5423,266,1768,3388,0
2005.05_재학,3900,2663,958,278,0
2005.05_휴학,642,91,434,116,0
2005.05_무학,5,1,1,3,0
2006.05_청년층인구 전체,9894,3029,3005,3860,0
2006.05_졸업/중퇴,5236,192,1628,3417,0
2006.05_재학,4050,2762,980,308,0
2006.05_휴학,605,75,396,133,0
2006.05_무학,3,0,1,2,0
2007.05_청년층인구 전체,9876,3105,2820,3952,0
2007.05_졸업/중퇴,5102,196,1438,3468,0
2007.05_재학,4210,2853,1026,332,0
2007.05_휴학,557,55,353,149,0
2007.05_무학,7,1,3,3,0
2008.05_청년층인구 전체,9870,3202,2671,3997,0
2008.05_졸업/중퇴,5059,208,1331,3519,0
2008.05_재학,4285,2926,1016,343,0
2008.05_휴학,519,67,319,132,0
2008.05_무학,8,1,5,3,0
2009.05_청년층인구 전체,9843,3292,2597,3955,0
2009.05_졸업/중퇴,4878,200,1197,3480,0
2009.05_재학,4379,3039,1002,338,0
2009.05_휴학,580,50,395,135,0
2009.05_무학,7,2,3,2,0
2010.05_청년층인구 전체,9743,3356,2585,3802,0
2010.05_졸업/중퇴,4756,227,1207,3323,0
2010.05_재학,4394,3074,1000,320,0
2010.05_휴학,589,55,376,157,0
2010.05_무학,5,0,2,2,0
2011.05_청년층인구 전체,9684,3365,2686,3633,0
2011.05_졸업/중퇴,4655,254,1173,3228,0
2011.05_재학,4389,3041,1061,287,0
2011.05_휴학,638,69,452,117,0
2011.05_무학,3,1,0,2,0
2012.05_청년층인구 전체,9552,3342,2773,3437,0
2012.05_졸업/중퇴,4556,248,1249,3058,0
2012.05_재학,4422,3041,1104,277,0
2012.05_휴학,570,51,419,100,0
2012.05_무학,4,2,1,1,0
2013.05_청년층인구 전체,9440,3283,2876,3281,0
2013.05_졸업/중퇴,4411,235,1286,2891,0
2013.05_재학,4511,3009,1215,287,0
2013.05_휴학,516,39,375,102,0
2013.05_무학,1,0,1,1,0
2014.05_청년층인구 전체,9397,3205,2978,3214,0
2014.05_졸업/중퇴,4389,249,1322,2818,0
2014.05_재학,4443,2904,1259,280,0
2014.05_휴학,560,50,397,112,0
2014.05_무학,5,2,0,3,0
2015.05_청년층인구 전체,9385,3135,3034,3216,0
2015.05_졸업/중퇴,4557,270,1475,2812,0
2015.05_재학,4270,2830,1144,296,0
2015.05_휴학,556,35,415,106,0
2015.05_무학,2,0,0,2,0
2016.05_청년층인구 전체,9378,3085,3052,3241,0
2016.05_졸업/중퇴,4643,282,1513,2848,0
2016.05_재학,4197,2763,1157,277,0
2016.05_휴학,535,41,383,111,0
2016.05_무학,4,0,0,4,0
2017.05_청년층인구 전체,9302,2944,3035,3323,9849
2017.05_졸업/중퇴,4730,280,1525,2926,7840
2017.05_재학,4088,2629,1176,283,1534
2017.05_휴학,481,36,334,112,471
2017.05_무학,3,0,0,3,4
2018.05_청년층인구 전체,9157,2775,2961,3421,9718
2018.05_졸업/중퇴,4788,273,1441,3075,7784
2018.05_재학,3921,2470,1192,259,1508
2018.05_휴학,447,33,328,86,425
2018.05_무학,1,0,0,1,1
2019.05_청년층인구 전체,9073,2639,2925,3509,9704
2019.05_졸업/중퇴,4835,242,1435,3158,7775
2019.05_재학,3797,2349,1196,251,1521
2019.05_휴학,441,47,293,101,407
2019.05_무학,0,0,0,0,1
2020.05_청년층인구 전체,8934,2472,2887,3575,9741
2020.05_졸업/중퇴,4787,227,1362,3199,7747
2020.05_재학,3756,2213,1258,285,1619
2020.05_휴학,390,32,268,90,371
2020.05_무학,2,0,0,2,4
2021.05_청년층인구 전체,8799,2317,2846,3636,9778
2021.05_졸업/중퇴,4706,195,1301,3209,7733
2021.05_재학,3656,2083,1253,320,1631
2021.05_휴학,434,39,291,104,409
2021.05_무학,3,0,0,3,5
2022.05_청년층인구 전체,8595,2243,2752,3599,9717
2022.05_졸업/중퇴,4691,187,1291,3212,7770
2022.05_재학,3519,2030,1195,294,1570
2022.05_휴학,381,26,264,92,371
2022.05_무학,4,0,3,1,6
2023.05_청년층인구 전체,8416,2261,2643,3513,9603
2023.05_졸업/중퇴,4521,165,1220,3137,7707
2023.05_재학,3553,2081,1169,304,1544
2023.05_휴학,337,15,252,70,345
2023.05_무학,4,0,2,2,6
2024.05_청년층인구 전체,8173,2230,2498,3445,9473
2024.05_졸업/중퇴,4367,207,1106,3053,7585
2024.05_재학,3498,2002,1167,329,1575
2024.05_휴학,306,21,225,61,311
2024.05_무학,2,0,0,2,2
2025.05_청년층인구 전체,7974,2233,2357,3384,9337
2025.05_졸업/중퇴,4175,183,989,3003,7502
2025.05_재학,3470,2032,1128,311,1516
2025.05_휴학,326,18,241,67,316
2025.05_무학,3,0,0,3,3
