연령별_수학여부,15~29세_전체,15~29세_졸업/중퇴,15~29세_재학/휴학,15~29세_기타,15~19세_전체,15~19세_졸업/중퇴,15~19세_재학/휴학,15~19세_기타,20~24세_전체,20~24세_졸업/중퇴,20~24세_재학/휴학,20~24세_기타,25~29세_전체,25~29세_졸업/중퇴,25~29세_재학/휴학,25~29세_기타,20~34세_전체,20~34세_졸업/중퇴,20~34세_재학/휴학,20~34세_기타
2004.05_청년층인구,10182,5656,4522,4,3059,285,2773,1,3319,1914,1404,1,3804,3456,345,2,0,0,0,0
2004.05_경제활동인구,5039,4315,724,1,265,136,129,0,1959,1521,438,1,2815,2659,157,0,0,0,0,0
2004.05_취업자,4630,3964,665,1,236,116,120,0,1758,1356,401,1,2636,2492,144,0,0,0,0,0
2004.05_실업자,409,350,59,0,29,19,9,0,201,164,37,0,180,167,13,0,0,0,0,0
2004.05_비경제활동인구,5143,1341,3799,3,2794,150,2644,1,1360,394,966,0,989,798,189,2,0,0,0,0
2004.05_고용률,46,70,15,28,8,41,4,0,53,71,29,67,69,72,42,18,0,0,0,0
2004.05_실업률,8,8,8,0,11,14,7,0,10,11,8,0,6,6,8,0,0,0,0,0
2005.05_청년층인구,9969,5423,4541,5,3021,266,2755,1,3162,1768,1393,1,3786,3388,394,3,0,0,0,0
2005.05_경제활동인구,4895,4145,749,2,268,121,147,0,1819,1392,426,1,2809,2632,176,1,0,0,0,0
2005.05_취업자,4533,3820,711,2,241,102,138,0,1662,1260,402,1,2630,2458,171,1,0,0,0,0
2005.05_실업자,363,325,38,0,27,19,8,0,157,133,24,0,179,174,5,0,0,0,0,0
2005.05_비경제활동인구,5074,1278,3792,3,2754,145,2608,1,1344,376,967,1,977,757,218,2,0,0,0,0
2005.05_고용률,46,70,16,32,8,38,5,0,53,71,29,53,70,73,43,28,0,0,0,0
2005.05_실업률,7,8,5,0,10,15,6,0,9,10,6,0,6,7,3,0,0,0,0,0
2006.05_청년층인구,9894,5236,4655,3,3029,192,2838,0,3005,1628,1376,1,3860,3417,442,2,0,0,0,0
2006.05_경제활동인구,4698,3974,723,1,213,70,144,0,1645,1269,375,1,2840,2636,204,1,0,0,0,0
2006.05_취업자,4359,3678,680,1,199,61,139,0,1500,1152,348,1,2660,2466,193,1,0,0,0,0
2006.05_실업자,339,295,43,0,14,9,5,0,145,117,27,0,180,170,11,0,0,0,0,0
2006.05_비경제활동인구,5196,1262,3932,2,2816,122,2694,0,1360,359,1001,1,1020,781,237,1,0,0,0,0
2006.05_고용률,44,70,15,44,7,32,5,0,50,71,25,50,69,72,44,39,0,0,0,0
2006.05_실업률,7,7,6,0,7,12,4,0,9,9,7,0,6,6,5,0,0,0,0,0
2007.05_청년층인구,9876,5102,4767,7,3105,196,2908,1,2820,1438,1379,3,3952,3468,481,3,0,0,0,0
2007.05_경제활동인구,4610,3875,734,2,203,71,132,0,1506,1125,380,1,2901,2679,222,1,0,0,0,0
2007.05_취업자,4289,3595,692,1,190,64,126,0,1378,1023,355,1,2721,2509,212,1,0,0,0,0
2007.05_실업자,321,279,41,0,13,7,6,0,128,103,25,0,181,170,10,0,0,0,0,0
2007.05_비경제활동인구,5267,1228,4034,6,2903,126,2776,1,1314,312,999,3,1051,790,259,2,0,0,0,0
2007.05_고용률,43,71,15,16,6,33,4,0,49,71,26,14,69,72,44,23,0,0,0,0
2007.05_실업률,7,7,6,26,6,9,5,0,9,9,7,0,6,6,5,38,0,0,0,0
2008.05_청년층인구,9870,5059,4803,8,3202,208,2993,1,2671,1331,1335,5,3997,3519,476,3,0,0,0,0
2008.05_경제활동인구,4533,3806,726,0,214,74,140,0,1392,1011,381,0,2926,2721,205,0,0,0,0,0
2008.05_취업자,4220,3536,684,0,202,66,136,0,1273,914,359,0,2746,2556,190,0,0,0,0,0
2008.05_실업자,312,270,42,0,12,8,4,0,120,97,22,0,180,165,16,0,0,0,0,0
2008.05_비경제활동인구,5338,1252,4077,8,2988,134,2853,1,1278,320,954,5,1071,798,270,3,0,0,0,0
2008.05_고용률,43,70,14,0,6,32,5,0,48,69,27,0,69,73,40,0,0,0,0,0
2008.05_실업률,7,7,6,0,6,11,3,0,9,10,6,0,6,6,8,0,0,0,0,0
2009.05_청년층인구,9843,4878,4959,7,3292,200,3089,2,2597,1197,1397,3,3955,3480,473,2,0,0,0,0
2009.05_경제활동인구,4416,3681,735,0,185,65,120,0,1302,894,408,0,2929,2722,207,0,0,0,0,0
2009.05_취업자,4083,3397,686,0,171,59,111,0,1182,801,381,0,2731,2537,194,0,0,0,0,0
2009.05_실업자,333,284,48,0,14,6,8,0,121,93,27,0,198,185,13,0,0,0,0,0
2009.05_비경제활동인구,5427,1196,4224,7,3107,135,2970,2,1294,303,989,3,1026,758,266,2,0,0,0,0
2009.05_고용률,42,70,14,0,5,30,4,0,46,67,27,0,69,73,41,0,0,0,0,0
2009.05_실업률,8,8,7,0,8,9,7,0,9,10,7,0,7,7,6,0,0,0,0,0
2010.05_청년층인구,9743,4756,4982,5,3356,227,3129,0,2585,1207,1376,2,3802,3323,477,2,0,0,0,0
2010.05_경제활동인구,4317,3586,729,2,226,79,148,0,1289,902,386,1,2801,2605,196,1,0,0,0,0
2010.05_취업자,4042,3348,693,2,208,71,138,0,1194,825,369,1,2639,2452,186,1,0,0,0,0
2010.05_실업자,275,238,36,0,18,8,10,0,95,78,17,0,162,153,9,0,0,0,0,0
2010.05_비경제활동인구,5427,1170,4253,3,3130,148,2982,0,1296,305,990,1,1001,718,282,1,0,0,0,0
2010.05_고용률,42,70,14,38,6,31,4,0,46,68,27,41,69,74,39,41,0,0,0,0
2010.05_실업률,6,7,5,0,8,10,7,0,7,9,5,0,6,6,5,0,0,0,0,0
2011.05_청년층인구,9684,4655,5027,3,3365,254,3111,1,2686,1173,1513,0,3633,3228,403,2,0,0,0,0
2011.05_경제활동인구,4271,3490,781,0,221,71,150,0,1312,856,456,0,2738,2563,175,0,0,0,0,0
2011.05_취업자,3958,3232,726,0,208,64,145,0,1208,785,423,0,2543,2384,159,0,0,0,0,0
2011.05_실업자,313,258,55,0,13,7,6,0,104,71,33,0,196,180,16,0,0,0,0,0
2011.05_비경제활동인구,5413,1165,4246,3,3144,183,2960,1,1374,317,1057,0,895,665,228,2,0,0,0,0
2011.05_고용률,41,69,15,0,6,25,5,0,45,67,28,0,70,74,39,0,0,0,0,0
2011.05_실업률,7,7,7,0,6,10,4,0,8,8,7,0,7,7,9,0,0,0,0,0
2012.05_청년층인구,9552,4556,4992,4,3342,248,3092,2,2773,1249,1523,1,3437,3058,377,1,0,0,0,0
2012.05_경제활동인구,4259,3477,780,1,248,89,159,0,1409,939,470,0,2602,2450,151,1,0,0,0,0
2012.05_취업자,3919,3179,738,1,233,79,154,0,1270,823,447,0,2415,2277,137,1,0,0,0,0
2012.05_실업자,340,298,42,0,15,10,5,0,139,116,23,0,186,173,13,0,0,0,0,0
2012.05_비경제활동인구,5293,1078,4212,2,3093,159,2933,2,1364,310,1053,1,835,609,226,0,0,0,0,0
2012.05_고용률,41,70,15,37,7,32,5,0,46,66,29,0,70,74,36,100,0,0,0,0
2012.05_실업률,8,9,5,0,6,11,3,0,10,12,5,0,7,7,9,0,0,0,0,0
2013.05_청년층인구,9440,4411,5028,1,3283,235,3048,0,2876,1286,1590,1,3281,2891,389,1,0,0,0,0
2013.05_경제활동인구,4061,3336,725,0,223,96,127,0,1390,946,445,0,2448,2294,154,0,0,0,0,0
2013.05_취업자,3761,3082,679,0,200,79,122,0,1276,854,422,0,2285,2150,135,0,0,0,0,0
2013.05_실업자,300,254,47,0,23,17,5,0,114,92,22,0,164,145,19,0,0,0,0,0
2013.05_비경제활동인구,5379,1076,4302,1,3060,139,2921,0,1486,340,1146,1,833,596,236,1,0,0,0,0
2013.05_고용률,40,70,14,0,6,33,4,0,44,66,27,0,70,74,35,0,0,0,0,0
2013.05_실업률,7,8,7,0,10,18,4,0,8,10,5,0,7,6,12,0,0,0,0,0
2014.05_청년층인구,9397,4389,5003,5,3205,249,2955,2,2978,1322,1656,0,3214,2818,393,3,0,0,0,0
2014.05_경제활동인구,4139,3359,778,2,245,101,144,0,1458,1001,457,0,2436,2257,177,2,0,0,0,0
2014.05_취업자,3780,3054,725,2,232,96,136,0,1311,879,432,0,2237,2079,156,2,0,0,0,0
2014.05_실업자,359,306,53,0,13,5,8,0,147,122,25,0,199,179,20,0,0,0,0,0
2014.05_비경제활동인구,5258,1030,4226,3,2960,148,2811,2,1520,321,1199,0,779,561,216,1,0,0,0,0
2014.05_고용률,40,70,15,39,7,39,5,0,44,67,26,0,70,74,40,61,0,0,0,0
2014.05_실업률,9,9,7,0,5,5,5,0,10,12,6,0,8,8,11,0,0,0,0,0
2015.05_청년층인구,9385,4557,4826,2,3135,270,2865,0,3034,1475,1559,0,3216,2812,402,2,0,0,0,0
2015.05_경제활동인구,4286,3472,813,1,266,106,159,0,1602,1120,482,0,2419,2246,172,1,0,0,0,0
2015.05_취업자,3890,3139,750,1,248,94,153,0,1440,998,442,0,2202,2047,154,1,0,0,0,0
2015.05_실업자,397,333,64,0,18,12,6,0,162,122,40,0,217,199,18,0,0,0,0,0
2015.05_비경제활동인구,5099,1085,4013,1,2870,164,2706,0,1432,355,1077,0,797,566,230,1,0,0,0,0
2015.05_고용률,41,69,16,37,8,35,5,0,48,68,28,0,69,73,38,37,0,0,0,0
2015.05_실업률,9,10,8,0,7,11,4,0,10,11,8,0,9,9,10,0,0,0,0,0
2016.05_청년층인구,9378,4643,4731,4,3085,282,2803,0,3052,1513,1539,0,3241,2848,389,4,0,0,0,0
2016.05_경제활동인구,4375,3593,781,1,262,125,137,0,1599,1151,448,0,2514,2317,196,1,0,0,0,0
2016.05_취업자,3950,3238,711,1,234,99,135,0,1436,1031,405,0,2280,2108,171,1,0,0,0,0
2016.05_실업자,425,355,70,0,28,26,2,0,163,120,43,0,234,209,25,0,0,0,0,0
2016.05_비경제활동인구,5004,1050,3951,3,2824,157,2667,0,1453,362,1091,0,727,531,193,3,0,0,0,0
2016.05_고용률,42,70,15,18,8,35,5,0,47,68,26,0,70,74,44,18,0,0,0,0
2016.05_실업률,10,10,9,0,11,21,2,0,10,10,10,0,9,9,13,0,0,0,0,0
2017.05_청년층인구,9302,4730,4569,3,2944,280,2665,0,3035,1525,1510,0,3323,2926,394,3,9849,7840,2005,4
2017.05_경제활동인구,4410,3629,781,0,291,131,160,0,1582,1135,447,0,2537,2363,174,0,6824,6139,686,0
2017.05_취업자,4003,3286,716,0,274,117,157,0,1407,997,411,0,2321,2173,149,0,6336,5715,621,0
2017.05_실업자,408,343,65,0,17,14,3,0,175,139,36,0,216,190,26,0,489,424,65,0
2017.05_비경제활동인구,4892,1102,3788,3,2653,148,2504,0,1453,390,1063,0,787,563,220,3,3025,1701,1319,4
2017.05_고용률,43,70,16,0,9,42,6,0,46,65,27,0,70,74,38,0,64,73,31,0
2017.05_실업률,9,9,8,0,6,11,2,0,11,12,8,0,9,8,15,0,7,7,9,0
2018.05_청년층인구,9157,4788,4368,1,2775,273,2502,0,2961,1441,1520,0,3421,3075,346,1,9718,7784,1932,1
2018.05_경제활동인구,4368,3704,664,0,225,108,117,0,1464,1060,404,0,2678,2536,142,0,6793,6197,596,0
2018.05_취업자,3908,3301,607,0,205,93,112,0,1301,927,374,0,2402,2281,121,0,6231,5688,543,0
2018.05_실업자,460,403,57,0,20,15,5,0,164,133,31,0,276,256,21,0,562,509,53,0
2018.05_비경제활동인구,4789,1084,3704,1,2550,164,2385,0,1497,381,1116,0,743,539,203,1,2925,1587,1336,1
2018.05_고용률,43,69,14,0,7,34,5,0,44,64,25,0,70,74,35,0,64,73,28,0
2018.05_실업률,11,11,9,0,9,14,5,0,11,13,8,0,10,10,15,0,8,8,9,0
2019.05_청년층인구,9073,4835,4238,0,2639,242,2397,0,2925,1435,1489,0,3509,3158,352,0,9704,7775,1927,1
2019.05_경제활동인구,4390,3674,716,0,234,98,136,0,1430,1011,419,0,2727,2566,161,0,6774,6131,642,0
2019.05_취업자,3953,3295,659,0,217,89,128,0,1260,872,388,0,2476,2333,143,0,6233,5643,590,0
2019.05_실업자,437,379,58,0,17,8,8,0,169,139,31,0,251,233,18,0,541,488,53,0
