연령구분(1)_산업별(1),15~29세_계,"15~29세_농업, 임업 및 어업(A)",15~29세_제조업(C),15~29세_건설업(F),15~29세_도매 및 소매업(G),15~29세_운수 및 창고업(H),15~29세_숙박 및 음식점업(I),15~29세_정보통신업(J),15~29세_금융 및 보험업(K),"15~29세_전문, 과학 및 기술 서비스업(M)","15~29세_사업시설관리, 사업지원 및  임대 서비스업(N)","15~29세_공공 행정, 국방 및 사회보장 행정(O)",15~29세_교육 서비스업(P),15~29세_보건업 및 사회복지 서비스업(Q),"15~29세_예술, 스포츠 및 여가관련 서비스업(R)","15~29세_협회 및 단체, 수리  및 기타 개인 서비스업(S)","15~29세_기타(B,D,E,L,T,U)",20~34세_계,"20~34세_농업, 임업 및 어업(A)",20~34세_제조업(C),20~34세_건설업(F),20~34세_도매 및 소매업(G),20~34세_운수 및 창고업(H),20~34세_숙박 및 음식점업(I),20~34세_정보통신업(J),20~34세_금융 및 보험업(K),"20~34세_전문, 과학 및 기술 서비스업(M)","20~34세_사업시설관리, 사업지원 및  임대 서비스업(N)","20~34세_공공 행정, 국방 및 사회보장 행정(O)",20~34세_교육 서비스업(P),20~34세_보건업 및 사회복지 서비스업(Q),"20~34세_예술, 스포츠 및 여가관련 서비스업(R)","20~34세_협회 및 단체, 수리  및 기타 개인 서비스업(S)","20~34세_기타(B,D,E,L,T,U)"
2013.05_전체 취업자,25610,1706,4297,1832,3706,1422,1937,698,859,1021,1277,1044,1774,1586,398,1255,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013.05_졸업/중퇴 청년층 취업자,3082,37,562,97,502,78,227,133,131,213,147,53,264,385,71,138,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014.05_전체 취업자,26112,1649,4459,1855,3784,1430,2052,734,837,1018,1266,1041,1828,1723,385,1286,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014.05_졸업/중퇴 청년층 취업자,3054,43,540,102,475,65,258,161,121,186,160,85,249,408,50,119,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.05_전체 취업자,26431,1526,4580,1894,3808,1429,2190,773,781,1043,1345,999,1825,1799,443,1237,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.05_졸업/중퇴 청년층 취업자,3139,33,610,102,469,55,280,158,105,214,144,64,263,392,85,133,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016.05_전체 취업자,26613,1420,4608,1862,3714,1439,2273,770,773,1108,1407,1063,1869,1886,407,1242,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016.05_졸업/중퇴 청년층 취업자,3238,24,611,104,492,70,348,164,96,225,138,71,266,384,91,121,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017.05_전체 취업자,26992,1420,4586,2031,3767,1394,2302,784,758,1103,1396,1092,1944,1938,423,1220,836,26992,1420,4586,2031,3767,1394,2302,784,758,1103,1396,1092,1944,1938,423,1220,836
2017.05_졸업/중퇴 청년층 취업자,3286,28,624,100,456,79,348,179,95,206,162,80,267,416,85,124,38,5715,53,1150,230,819,167,482,309,202,387,263,163,464,599,125,217,86
