연령구분_직업별,15~29세_계,15~29세_관리자ㆍ전문가,15~29세_사무 종사자,15~29세_서비스 종사자,15~29세_판매 종사자,15~29세_농림어업 숙련종사자,15~29세_기능원 및 관련 기능종사자,"15~29세_장치,기계조작 및 조립종사자",15~29세_단순노무 종사자,20~34세_계,20~34세_관리자ㆍ전문가,20~34세_사무 종사자,20~34세_서비스 종사자,20~34세_판매 종사자,20~34세_농림어업 숙련종사자,20~34세_기능원 및 관련 기능종사자,"20~34세_장치,기계조작 및 조립종사자",20~34세_단순노무 종사자
2013.05_전체 취업자,25610,5343,4266,2625,3087,1591,2287,3045,3367,0,0,0,0,0,0,0,0,0
2013.05_졸업/중퇴 청년층 취업자,3082,970,830,303,322,31,153,266,209,0,0,0,0,0,0,0,0,0
2014.05_전체 취업자,26112,5517,4416,2746,3138,1530,2274,3111,3380,0,0,0,0,0,0,0,0,0
2014.05_졸업/중퇴 청년층 취업자,3054,942,830,322,321,36,130,282,190,0,0,0,0,0,0,0,0,0
2015.05_전체 취업자,26431,5554,4456,2830,3091,1403,2377,3177,3544,0,0,0,0,0,0,0,0,0
2015.05_졸업/중퇴 청년층 취업자,3139,942,815,363,338,29,154,297,201,0,0,0,0,0,0,0,0,0
2016.05_전체 취업자,26613,5653,4604,2878,3074,1322,2385,3205,3492,0,0,0,0,0,0,0,0,0
2016.05_졸업/중퇴 청년층 취업자,3238,973,827,389,349,19,164,297,221,0,0,0,0,0,0,0,0,0
2017.05_전체 취업자,26992,5751,4681,2950,3084,1322,2418,3177,3609,26992,5751,4681,2950,3084,1322,2418,3177,3609
2017.05_졸업/중퇴 청년층 취업자,3286,1015,815,410,355,23,157,284,228,5715,1798,1478,591,589,44,339,501,376
2018.05_전체 취업자,27064,5872,4784,2999,2987,1383,2336,3112,3591,27064,5872,4784,2999,2987,1383,2336,3112,3591
2018.05_졸업/중퇴 청년층 취업자,3301,980,864,429,323,16,179,257,254,5688,1730,1537,604,552,41,343,481,400
2019.05_전체 취업자,27322,5965,4730,3127,3043,1416,2393,3011,3638,27322,5965,4730,3127,3043,1416,2393,3011,3638
2019.05_졸업/중퇴 청년층 취업자,3295,963,777,452,344,26,202,262,270,5643,1713,1405,634,571,44,371,494,412
2020.05_전체 취업자,26930,5897,4665,3044,2924,1475,2276,2958,3689,26930,5897,4665,3044,2924,1475,2276,2958,3689
2020.05_졸업/중퇴 청년층 취업자,3127,924,713,412,351,30,166,248,284,5492,1692,1356,586,585,45,330,452,447
2021.05_전체 취업자,27550,5941,4756,3114,2804,1480,2404,2958,4094,27550,5941,4756,3114,2804,1480,2404,2958,4094
2021.05_졸업/중퇴 청년층 취업자,3158,928,722,401,295,24,188,268,335,5572,1712,1378,565,524,42,343,490,517
2022.05_전체 취업자,28485,6291,4895,3260,2703,1582,2466,3069,4220,28485,6291,4895,3260,2703,1582,2466,3069,4220
2022.05_졸업/중퇴 청년층 취업자,3361,1027,801,409,284,28,205,261,345,5854,1861,1462,621,474,46,380,500,511
2023.05_전체 취업자,28835,6688,5033,3514,2642,1622,2321,2985,4032,28835,6688,5033,3514,2642,1622,2321,2985,4032
2023.05_졸업/중퇴 청년층 취업자,3261,1088,748,516,233,19,183,217,258,5915,1991,1457,765,443,42,343,465,409
2024.05_전체 취업자,28915,6763,5067,3589,2502,1569,2268,3003,4153,28915,6763,5067,3589,2502,1569,2268,3003,4153
2024.05_졸업/중퇴 청년층 취업자,3077,988,741,489,202,24,171,217,246,5823,1919,1478,758,397,50,358,439,424
2025.05_전체 취업자,29160,7123,5103,3610,2552,1458,2255,2988,4070,29160,7123,5103,3610,2552,1458,2255,2988,4070
2025.05_졸업/중퇴 청년층 취업자,2962,982,665,455,238,32,173,214,204,5798,1961,1450,718,445,48,352,427,397
