연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_청년층인구,0,0,0,0,0,0
2004.05_직장체험경험있음,0,0,0,0,0,0
2004.05_-1개월미만,0,0,0,0,0,0
2004.05_-1~3개월미만,0,0,0,0,0,0
2004.05_-3~6개월미만,0,0,0,0,0,0
2004.05_-6개월이상,0,0,0,0,0,0
2004.05_직장체험경험없음,0,0,0,0,0,0
2004.05_무학,0,0,0,0,0,0
2005.05_청년층인구,9969,4818,5152,0,0,0
2005.05_직장체험경험있음,4406,2116,2290,0,0,0
2005.05_-1개월미만,0,0,0,0,0,0
2005.05_-1~3개월미만,0,0,0,0,0,0
2005.05_-3~6개월미만,0,0,0,0,0,0
2005.05_-6개월이상,0,0,0,0,0,0
2005.05_직장체험경험없음,5559,2700,2859,0,0,0
2005.05_무학,5,2,3,0,0,0
2006.05_청년층인구,9894,4809,5085,0,0,0
2006.05_직장체험경험있음,4102,1944,2159,0,0,0
2006.05_-1개월미만,550,229,321,0,0,0
2006.05_-1~3개월미만,1093,515,578,0,0,0
2006.05_-3~6개월미만,886,431,455,0,0,0
2006.05_-6개월이상,1574,769,805,0,0,0
2006.05_직장체험경험없음,5789,2864,2924,0,0,0
2006.05_무학,3,1,2,0,0,0
2007.05_청년층인구,9876,4824,5053,0,0,0
2007.05_직장체험경험있음,3832,1803,2029,0,0,0
2007.05_-1개월미만,540,230,310,0,0,0
2007.05_-1~3개월미만,995,460,536,0,0,0
2007.05_-3~6개월미만,847,414,433,0,0,0
2007.05_-6개월이상,1449,699,750,0,0,0
2007.05_직장체험경험없음,6037,3017,3021,0,0,0
2007.05_무학,7,4,3,0,0,0
2008.05_청년층인구,9870,4840,5031,0,0,0
2008.05_직장체험경험있음,3662,1691,1971,0,0,0
2008.05_-1개월미만,497,215,282,0,0,0
2008.05_-1~3개월미만,1040,479,561,0,0,0
2008.05_-3~6개월미만,838,408,430,0,0,0
2008.05_-6개월이상,1286,589,698,0,0,0
2008.05_직장체험경험없음,6200,3146,3054,0,0,0
2008.05_무학,8,3,5,0,0,0
2009.05_청년층인구,9843,4840,5003,0,0,0
2009.05_직장체험경험있음,3800,1745,2056,0,0,0
2009.05_-1개월미만,469,192,277,0,0,0
2009.05_-1~3개월미만,1011,468,543,0,0,0
2009.05_-3~6개월미만,870,435,436,0,0,0
2009.05_-6개월이상,1449,649,800,0,0,0
2009.05_직장체험경험없음,6036,3092,2944,0,0,0
2009.05_무학,7,3,4,0,0,0
2010.05_청년층인구,9743,4804,4940,0,0,0
2010.05_직장체험경험있음,4236,1973,2263,0,0,0
2010.05_-1개월미만,539,256,283,0,0,0
2010.05_-1~3개월미만,1083,477,606,0,0,0
2010.05_-3~6개월미만,1003,506,498,0,0,0
2010.05_-6개월이상,1611,734,876,0,0,0
2010.05_직장체험경험없음,5503,2828,2675,0,0,0
2010.05_무학,5,3,2,0,0,0
2011.05_청년층인구,9684,4804,4880,0,0,0
2011.05_직장체험경험있음,4166,1955,2212,0,0,0
2011.05_-1개월미만,436,223,213,0,0,0
2011.05_-1~3개월미만,1074,468,606,0,0,0
2011.05_-3~6개월미만,1015,495,520,0,0,0
2011.05_-6개월이상,1642,769,873,0,0,0
2011.05_직장체험경험없음,5515,2846,2669,0,0,0
2011.05_무학,3,3,0,0,0,0
2012.05_청년층인구,9552,4743,4808,0,0,0
2012.05_직장체험경험있음,3922,1857,2065,0,0,0
2012.05_-1개월미만,436,230,206,0,0,0
2012.05_-1~3개월미만,1025,470,555,0,0,0
2012.05_-3~6개월미만,929,464,465,0,0,0
2012.05_-6개월이상,1532,692,839,0,0,0
2012.05_직장체험경험없음,5626,2884,2742,0,0,0
2012.05_무학,4,2,1,0,0,0
2013.05_청년층인구,9440,4689,4751,0,0,0
2013.05_직장체험경험있음,3767,1833,1934,0,0,0
2013.05_-1개월미만,431,216,215,0,0,0
2013.05_-1~3개월미만,997,482,515,0,0,0
