연령구분_학력별_성별,15~29세_전체_전체,15~29세_전체_남자,15~29세_전체_여자,15~29세_고졸이하_전체,15~29세_고졸이하_남자,15~29세_고졸이하_여자,15~29세_대졸이상_전체,15~29세_대졸이상_남자,15~29세_대졸이상_여자,20~34세_전체_전체,20~34세_전체_남자,20~34세_전체_여자,20~34세_고졸이하_전체,20~34세_고졸이하_남자,20~34세_고졸이하_여자,20~34세_대졸이상_전체,20~34세_대졸이상_남자,20~34세_대졸이상_여자
2004.05_졸업/중퇴 후 취업 유경험자,5200,2208,2991,2570,1201,1368,2630,1007,1623,0,0,0,0,0,0,0,0,0
2004.05_가족 친지소개 (추천),1441,689,752,904,466,437,538,223,315,0,0,0,0,0,0,0,0,0
2004.05_그 직장 근무자소개 (추천),638,291,347,373,191,182,265,100,165,0,0,0,0,0,0,0,0,0
2004.05_학교(학원) 선생님 추천,556,149,408,261,55,206,295,93,202,0,0,0,0,0,0,0,0,0
2004.05_신문 잡지 인터넷 등 응모,1359,524,835,664,304,360,694,220,474,0,0,0,0,0,0,0,0,0
2004.05_공개시험,675,283,393,112,43,69,563,239,324,0,0,0,0,0,0,0,0,0
2004.05_특별채용,164,89,75,54,36,19,109,53,56,0,0,0,0,0,0,0,0,0
2004.05_그 외,367,184,183,201,106,96,166,79,88,0,0,0,0,0,0,0,0,0
2005.05_졸업/중퇴 후 취업 유경험자,4971,2093,2878,2343,1099,1245,2628,994,1633,0,0,0,0,0,0,0,0,0
2005.05_가족 친지소개 (추천),1225,619,607,754,414,340,471,205,267,0,0,0,0,0,0,0,0,0
2005.05_그 직장 근무자소개 (추천),623,308,314,360,203,158,262,106,157,0,0,0,0,0,0,0,0,0
2005.05_학교(학원) 선생님 추천,484,114,371,213,40,174,271,74,197,0,0,0,0,0,0,0,0,0
2005.05_신문 잡지 인터넷 등 응모,1442,534,908,685,293,393,757,241,516,0,0,0,0,0,0,0,0,0
2005.05_공개시험,674,281,393,103,38,65,571,244,328,0,0,0,0,0,0,0,0,0
2005.05_특별채용,175,85,90,65,37,28,111,48,62,0,0,0,0,0,0,0,0,0
2005.05_그 외,347,152,195,163,76,87,184,76,108,0,0,0,0,0,0,0,0,0
2006.05_졸업/중퇴 후 취업 유경험자,4761,2008,2753,2061,1032,1030,2699,976,1723,0,0,0,0,0,0,0,0,0
2006.05_가족 친지소개 (추천),1223,612,611,719,408,310,504,204,301,0,0,0,0,0,0,0,0,0
2006.05_그 직장 근무자소개 (추천),574,274,300,298,162,135,276,111,165,0,0,0,0,0,0,0,0,0
2006.05_학교(학원) 선생님 추천,417,113,304,163,41,122,254,72,182,0,0,0,0,0,0,0,0,0
2006.05_신문 잡지 인터넷 등 응모,1357,521,836,608,299,309,749,222,527,0,0,0,0,0,0,0,0,0
2006.05_공개시험,728,290,438,90,36,54,639,255,384,0,0,0,0,0,0,0,0,0
2006.05_특별채용,158,68,90,45,23,22,113,45,68,0,0,0,0,0,0,0,0,0
2006.05_그 외,304,130,174,139,63,77,165,68,97,0,0,0,0,0,0,0,0,0
2007.05_졸업/중퇴 후 취업 유경험자,4669,2016,2653,1918,966,951,2752,1050,1702,0,0,0,0,0,0,0,0,0
2007.05_가족 친지소개 (추천),1086,536,550,601,331,270,485,205,280,0,0,0,0,0,0,0,0,0
2007.05_그 직장 근무자소개 (추천),580,288,292,269,162,107,311,126,185,0,0,0,0,0,0,0,0,0
2007.05_학교(학원) 선생님 추천,433,122,311,165,40,125,268,82,186,0,0,0,0,0,0,0,0,0
2007.05_신문 잡지 인터넷 등 응모,1391,556,835,631,302,329,760,254,506,0,0,0,0,0,0,0,0,0
2007.05_공개시험,735,300,435,82,37,45,653,263,390,0,0,0,0,0,0,0,0,0
2007.05_특별채용,166,88,78,45,26,19,121,62,60,0,0,0,0,0,0,0,0,0
2007.05_그 외,279,128,151,126,69,57,153,59,94,0,0,0,0,0,0,0,0,0
2008.05_졸업/중퇴 후 취업 유경험자,4590,1987,2603,1758,906,852,2832,1081,1751,0,0,0,0,0,0,0,0,0
2008.05_가족 친지소개 (추천),1076,527,549,584,320,264,492,207,285,0,0,0,0,0,0,0,0,0
2008.05_그 직장 근무자소개 (추천),577,279,299,272,160,113,305,119,186,0,0,0,0,0,0,0,0,0
2008.05_학교(학원) 선생님 추천,394,106,288,126,33,94,268,74,194,0,0,0,0,0,0,0,0,0
2008.05_신문 잡지 인터넷 등 응모,1321,543,778,559,291,268,763,252,510,0,0,0,0,0,0,0,0,0
2008.05_공개시험,801,349,452,85,35,50,716,314,401,0,0,0,0,0,0,0,0,0
2008.05_특별채용,149,73,77,28,15,13,122,58,64,0,0,0,0,0,0,0,0,0
2008.05_그 외,272,110,162,104,53,51,168,57,111,0,0,0,0,0,0,0,0,0
2009.05_졸업/중퇴 후 취업 유경험자,4375,1892,2483,1619,825,794,2757,1067,1690,0,0,0,0,0,0,0,0,0
2009.05_가족 친지소개 (추천),983,499,484,523,285,238,460,214,246,0,0,0,0,0,0,0,0,0
2009.05_그 직장 근무자소개 (추천),522,264,258,230,144,86,291,120,171,0,0,0,0,0,0,0,0,0
2009.05_학교(학원) 선생님 추천,357,101,256,102,23,79,255,78,178,0,0,0,0,0,0,0,0,0
2009.05_신문 잡지 인터넷 등 응모,1290,495,795,519,250,269,771,245,526,0,0,0,0,0,0,0,0,0
2009.05_공개시험,788,339,449,80,36,44,708,303,405,0,0,0,0,0,0,0,0,0
2009.05_특별채용,154,66,89,45,20,25,109,46,64,0,0,0,0,0,0,0,0,0
2009.05_그 외,282,129,153,120,66,54,162,62,99,0,0,0,0,0,0,0,0,0
2010.05_졸업/중퇴 후 취업 유경험자,4272,1826,2446,1554,817,737,2718,1009,1709,0,0,0,0,0,0,0,0,0
2010.05_가족 친지소개 (추천),951,475,476,506,286,220,445,189,255,0,0,0,0,0,0,0,0,0
2010.05_그 직장 근무자소개 (추천),522,259,263,229,137,92,294,122,171,0,0,0,0,0,0,0,0,0
2010.05_학교(학원) 선생님 추천,356,88,268,95,18,76,261,70,192,0,0,0,0,0,0,0,0,0
2010.05_신문 잡지 인터넷 등 응모,1288,490,798,518,255,263,770,235,535,0,0,0,0,0,0,0,0,0
2010.05_공개시험,719,306,413,61,36,25,658,270,388,0,0,0,0,0,0,0,0,0
2010.05_특별채용,137,65,72,31,19,12,106,46,60,0,0,0,0,0,0,0,0,0
2010.05_그 외,299,143,156,114,66,48,185,77,108,0,0,0,0,0,0,0,0,0
