연령구분_전체,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_졸업ㆍ중퇴 후 취업 유경험자 전체,5200,2208,2991,0,0,0
2004.05_임금 근로자,5030,2112,2918,0,0,0
2004.05_3개월 미만,2830,1096,1734,0,0,0
2004.05_3~6개월 미만,567,200,367,0,0,0
2004.05_6개월~1년 미만,421,173,248,0,0,0
2004.05_1~2년 미만,540,229,311,0,0,0
2004.05_2~3년 미만,235,119,116,0,0,0
2004.05_3년 이상,438,296,143,0,0,0
2004.05_첫 취업 평균소요기간,10,13,7,0,0,0
2005.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4971,2093,2878,0,0,0
2005.05_임금 근로자,4813,2003,2811,0,0,0
2005.05_3개월 미만,2705,1032,1673,0,0,0
2005.05_3~6개월 미만,577,218,359,0,0,0
2005.05_6개월~1년 미만,415,169,247,0,0,0
2005.05_1~2년 미만,468,184,284,0,0,0
2005.05_2~3년 미만,238,126,112,0,0,0
2005.05_3년 이상,409,273,136,0,0,0
2005.05_첫 취업 평균소요기간,9,13,7,0,0,0
2006.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4761,2008,2753,0,0,0
2006.05_임금 근로자,4589,1913,2675,0,0,0
2006.05_3개월 미만,2444,900,1544,0,0,0
2006.05_3~6개월 미만,534,222,312,0,0,0
2006.05_6개월~1년 미만,423,181,243,0,0,0
2006.05_1~2년 미만,473,184,289,0,0,0
2006.05_2~3년 미만,241,116,125,0,0,0
2006.05_3년 이상,474,311,163,0,0,0
2006.05_첫 취업 평균소요기간,11,14,8,0,0,0
2007.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4669,2016,2653,0,0,0
2007.05_임금 근로자,4507,1929,2578,0,0,0
2007.05_3개월 미만,2467,978,1490,0,0,0
2007.05_3~6개월 미만,490,201,290,0,0,0
2007.05_6개월~1년 미만,409,163,247,0,0,0
2007.05_1~2년 미만,476,201,274,0,0,0
2007.05_2~3년 미만,246,127,119,0,0,0
2007.05_3년 이상,418,260,158,0,0,0
2007.05_첫 취업 평균소요기간,10,13,8,0,0,0
2008.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4590,1987,2603,0,0,0
2008.05_임금 근로자,4456,1917,2539,0,0,0
2008.05_3개월 미만,2315,906,1409,0,0,0
2008.05_3~6개월 미만,558,240,318,0,0,0
2008.05_6개월~1년 미만,435,182,252,0,0,0
2008.05_1~2년 미만,506,201,304,0,0,0
2008.05_2~3년 미만,238,127,111,0,0,0
2008.05_3년 이상,405,261,145,0,0,0
2008.05_첫 취업 평균소요기간,10,13,8,0,0,0
2009.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4375,1892,2483,0,0,0
2009.05_임금 근로자,4244,1825,2419,0,0,0
2009.05_3개월 미만,2260,852,1408,0,0,0
2009.05_3~6개월 미만,506,190,316,0,0,0
2009.05_6개월~1년 미만,402,184,219,0,0,0
2009.05_1~2년 미만,471,210,260,0,0,0
