연령구분_첫일자리가 현직장인지 여부,15~29세_전체,15~29세_첫 일자리를 그만둔 경우,15~29세_첫 일자리가 현 직장인 경우,20~34세_전체,20~34세_첫 일자리를 그만둔 경우,20~34세_첫 일자리가 현 직장인 경우
2004.05_졸업ㆍ중퇴 후 취업 유경험자 전체,5200,3572,1628,0,0,0
2004.05_임금 근로자,5031,3516,1514,0,0,0
2004.05_평균 근속기간 (개월),20,17,27,0,0,0
2005.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4971,3434,1537,0,0,0
2005.05_임금 근로자,4813,3374,1439,0,0,0
2005.05_평균 근속기간 (개월),20,16,27,0,0,0
2006.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4761,3120,1641,0,0,0
2006.05_임금 근로자,4589,3055,1534,0,0,0
2006.05_평균 근속기간 (개월),20,17,27,0,0,0
2007.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4669,3175,1494,0,0,0
2007.05_임금 근로자,4507,3105,1401,0,0,0
2007.05_평균 근속기간 (개월),20,17,27,0,0,0
2008.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4590,3103,1487,0,0,0
2008.05_임금 근로자,4456,3043,1414,0,0,0
2008.05_평균 근속기간 (개월),19,16,27,0,0,0
2009.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4375,2960,1415,0,0,0
2009.05_임금 근로자,4244,2903,1341,0,0,0
2009.05_평균 근속기간 (개월),19,16,27,0,0,0
2010.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4272,2945,1327,0,0,0
2010.05_임금 근로자,4138,2877,1260,0,0,0
2010.05_평균 근속기간 (개월),19,15,26,0,0,0
2011.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4129,2747,1382,0,0,0
2011.05_임금 근로자,3990,2685,1305,0,0,0
2011.05_평균 근속기간 (개월),19,15,26,0,0,0
2012.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4037,2687,1349,0,0,0
2012.05_임금 근로자,3904,2629,1275,0,0,0
2012.05_평균 근속기간 (개월),18,15,26,0,0,0
2013.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3857,2423,1434,0,0,0
2013.05_임금 근로자,3754,2390,1364,0,0,0
2013.05_평균 근속기간 (개월),18,14,25,0,0,0
2014.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3827,2355,1472,0,0,0
2014.05_임금 근로자,3708,2313,1395,0,0,0
2014.05_평균 근속기간 (개월),18,14,24,0,0,0
2015.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3926,2445,1480,0,0,0
2015.05_임금 근로자,3788,2398,1390,0,0,0
2015.05_평균 근속기간 (개월),17,14,24,0,0,0
2016.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4033,2411,1621,0,0,0
2016.05_임금 근로자,3909,2375,1534,0,0,0
2016.05_평균 근속기간 (개월),18,14,24,0,0,0
2017.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4101,2516,1585,7243,4938,2305
2017.05_임금 근로자,4012,2489,1523,7061,4872,2189
2017.05_평균 근속기간 (개월),18,14,24,26,20,40
2018.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4140,2574,1566,7173,4894,2279
2018.05_임금 근로자,4054,2546,1509,6998,4831,2167
2018.05_평균 근속기간 (개월),18,14,25,26,20,40
2019.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4168,2771,1398,7142,5088,2054
2019.05_임금 근로자,4070,2727,1343,6947,4997,1950
2019.05_평균 근속기간 (개월),17,14,25,25,19,41
2020.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4070,2805,1265,7068,5136,1932
2020.05_임금 근로자,3963,2760,1203,6859,5039,1820
2020.05_평균 근속기간 (개월),18,14,26,25,19,42
2021.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4056,2731,1325,7084,5085,1999
2021.05_임금 근로자,3953,2688,1264,6891,4999,1892
2021.05_평균 근속기간 (개월),18,14,27,25,19,43
2022.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4117,2668,1449,7216,5092,2124
2022.05_임금 근로자,4018,2638,1380,6990,5013,1977
2022.05_평균 근속기간 (개월),19,14,27,25,19,41
2023.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3947,2601,1347,7132,5085,2047
2023.05_임금 근로자,3865,2580,1285,6936,5022,1914
2023.05_평균 근속기간 (개월),19,14,27,26,19,42
2024.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3765,2472,1293,7030,4955,2075
2024.05_임금 근로자,3671,2450,1220,6832,4893,1940
2024.05_평균 근속기간 (개월),19,15,28,26,19,45
2025.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3607,2312,1295,6961,4861,2100
2025.05_임금 근로자,3508,2285,1223,6761,4794,1967
2025.05_평균 근속기간 (개월),18,14,27,26,19,45
