성별_연령구분,전체_15~29세,전체_20~34세,남자_15~29세,남자_20~34세,여자_15~29세,여자_20~34세
2023.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3947,7132,1840,3537,2107,3595
2023.05_관리자ㆍ전문가,1005,1865,353,753,652,1112
2023.05_사무 종사자,819,1670,246,573,573,1097
2023.05_서비스 종사자,950,1597,400,752,550,845
2023.05_판매 종사자,323,527,165,283,158,244
2023.05_농림어업 숙련종사자,13,23,12,19,1,3
2023.05_기능원 및 관련 기능종사자,195,363,160,302,35,62
2023.05_장치기계조작 및 조립종사자,234,442,208,387,26,55
2023.05_단순노무 종사자,408,646,296,469,113,177
2024.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3765,7030,1794,3528,1972,3502
2024.05_관리자ㆍ전문가,976,1926,336,798,641,1129
2024.05_사무 종사자,816,1675,270,603,547,1073
2024.05_서비스 종사자,862,1472,376,688,486,784
2024.05_판매 종사자,284,502,145,268,139,234
2024.05_농림어업 숙련종사자,25,39,16,28,9,11
2024.05_기능원 및 관련 기능종사자,197,362,166,307,31,56
2024.05_장치기계조작 및 조립종사자,222,443,198,383,24,60
2024.05_단순노무 종사자,384,611,288,454,96,156
2025.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3607,6961,1743,3526,1864,3435
2025.05_관리자ㆍ전문가,933,1882,338,794,596,1089
2025.05_사무 종사자,790,1732,253,638,537,1094
2025.05_서비스 종사자,888,1521,415,721,473,800
2025.05_판매 종사자,252,453,127,251,125,201
2025.05_농림어업 숙련종사자,24,39,15,29,9,10
2025.05_기능원 및 관련 기능종사자,159,336,138,275,22,61
2025.05_장치기계조작 및 조립종사자,214,412,195,369,20,43
2025.05_단순노무 종사자,347,588,264,450,83,138
