연령별_성별,15~29세_계,15~29세_남자,15~29세_여자,20~34세_계,20~34세_남자,20~34세_여자
2008.05_계,1522,600,923,0,0,0
2008.05_직업교육훈련,35,18,17,0,0,0
2008.05_취업관련시험준비,420,231,189,0,0,0
2008.05_그냥시간보냄,231,136,95,0,0,0
2008.05_여가시간,33,8,25,0,0,0
2008.05_구직활동,204,114,90,0,0,0
2008.05_육아가사,458,5,454,0,0,0
2008.05_기타(~2023.5),142,88,53,0,0,0
2009.05_계,1481,554,927,0,0,0
2009.05_직업교육훈련,38,18,20,0,0,0
2009.05_취업관련시험준비,383,208,175,0,0,0
2009.05_그냥시간보냄,225,114,110,0,0,0
2009.05_여가시간,41,14,27,0,0,0
2009.05_구직활동,227,124,103,0,0,0
2009.05_육아가사,434,1,433,0,0,0
2009.05_기타(~2023.5),132,74,58,0,0,0
2010.05_계,1409,534,875,0,0,0
2010.05_직업교육훈련,49,28,21,0,0,0
2010.05_취업관련시험준비,356,172,184,0,0,0
2010.05_그냥시간보냄,221,131,90,0,0,0
2010.05_여가시간,39,8,30,0,0,0
2010.05_구직활동,196,109,87,0,0,0
2010.05_육아가사,402,1,402,0,0,0
2010.05_기타(~2023.5),146,85,61,0,0,0
2011.05_계,1423,564,859,0,0,0
2011.05_직업교육훈련,61,33,28,0,0,0
2011.05_취업관련시험준비,350,178,171,0,0,0
2011.05_그냥시간보냄,231,117,114,0,0,0
2011.05_여가시간,53,17,36,0,0,0
2011.05_구직활동,153,94,58,0,0,0
2011.05_육아가사,369,3,365,0,0,0
2011.05_기타(~2023.5),206,121,86,0,0,0
2012.05_계,1377,559,817,0,0,0
2012.05_직업교육훈련,44,24,20,0,0,0
2012.05_취업관련시험준비,340,155,185,0,0,0
2012.05_그냥시간보냄,267,145,122,0,0,0
2012.05_여가시간,58,21,37,0,0,0
2012.05_구직활동,185,105,80,0,0,0
2012.05_육아가사,312,6,306,0,0,0
2012.05_기타(~2023.5),172,104,68,0,0,0
2013.05_계,1329,532,797,0,0,0
2013.05_직업교육훈련,49,34,15,0,0,0
2013.05_취업관련시험준비,358,184,174,0,0,0
2013.05_그냥시간보냄,252,137,115,0,0,0
2013.05_여가시간,47,16,31,0,0,0
2013.05_구직활동,165,81,84,0,0,0
2013.05_육아가사,299,1,299,0,0,0
2013.05_기타(~2023.5),159,80,79,0,0,0
2014.05_계,1336,586,750,0,0,0
2014.05_직업교육훈련,49,29,20,0,0,0
2014.05_취업관련시험준비,378,206,172,0,0,0
2014.05_그냥시간보냄,246,150,96,0,0,0
2014.05_여가시간,53,14,39,0,0,0
2014.05_구직활동,205,114,91,0,0,0
2014.05_육아가사,260,0,260,0,0,0
2014.05_기타(~2023.5),146,73,73,0,0,0
2015.05_계,1418,602,816,0,0,0
2015.05_직업교육훈련,65,26,39,0,0,0
2015.05_취업관련시험준비,404,208,196,0,0,0
2015.05_그냥시간보냄,264,150,115,0,0,0
2015.05_여가시간,48,11,37,0,0,0
2015.05_구직활동,183,98,85,0,0,0
2015.05_육아가사,283,5,278,0,0,0
2015.05_기타(~2023.5),170,105,65,0,0,0
2016.05_계,1405,624,781,1222,523,700
2016.05_직업교육훈련,53,37,16,46,34,12
2016.05_취업관련시험준비,460,226,235,440,221,219
2016.05_그냥시간보냄,250,138,111,212,112,100
2016.05_여가시간,55,13,42,50,10,40
2016.05_구직활동,179,87,92,167,81,85
2016.05_육아가사,217,4,213,216,4,212
2016.05_진학준비(2024.5~),0,0,0,0,0,0
